,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
348,Yves Bissouma,ml MLI,MFDF,Lille,fr Ligue 1,20,1996,24,1561,65,45.6,17.3,15,84,12,9,33,6,0.96,15,36,-21,-1.21,-0.97,18.8,29.6,-10.8,-0.62,-0.10,Matches,6c203af0
349,Leonardo Bittencourt,de GER,MFFW,Köln,de Bundesliga,23,1993,22,1613,73,52.7,17.9,17,,11,5,,1,0.45,16,35,-19,-1.06,-0.06,22.2,34.5,-12.4,-0.69,+0.04,Matches,dc62fbee
350,Albano Bizzarri,ar ARG,GK,Udinese,it Serie A,39,1977,32,2880,90,84.2,32.0,32,,31,0,,5,1.16,41,52,-11,-0.34,+0.32,37.1,41.1,-4.0,-0.13,+0.22,Matches,32b9b5fa
351,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,22,1995,22,1941,88,56.8,21.6,22,88,21,0,,12,1.55,37,31,+6,+0.28,+0.70,31.0,31.1,-0.1,0.00,+0.01,Matches,967f34d3
352,Ludovic Blas,fr FRA,MF,Guingamp,fr Ligue 1,19,1997,31,1793,58,52.4,19.9,17,86,13,14,24,3,1.26,26,32,-6,-0.30,-0.02,23.4,28.3,-4.9,-0.25,-0.32,Matches,6191093d
353,Pablo de Blasis,ar ARG,FWMF,Mainz 05,de Bundesliga,29,1988,25,1652,66,54.0,18.4,20,,11,5,,7,1.24,22,25,-3,-0.16,+0.54,19.5,23.1,-3.6,-0.20,+0.37,Matches,9ab48bde
354,Jérémy Blayac,fr FRA,FW,Strasbourg,fr Ligue 1,34,1983,25,917,37,26.8,10.2,7,78,1,18,21,12,0.84,12,14,-2,-0.20,+0.56,15.4,12.7,+2.6,+0.26,+0.82,Matches,d9afac11
355,Alexis Blin,fr FRA,MF,Toulouse,fr Ligue 1,20,1996,26,1886,73,55.1,21.0,20,86,16,6,29,9,0.85,20,34,-14,-0.67,-0.55,23.2,31.7,-8.4,-0.40,-0.51,Matches,c69ef855
356,Daley Blind,nl NED,DFMF,Manchester Utd,eng Premier League,27,1990,7,362,52,10.6,4.0,4,,3,3,,11,3.00,11,0,+11,+2.73,+1.88,8.3,2.5,+5.9,+1.46,+1.19,Matches,691bef82
357,Danny Blum,de GER,MFDF,Eint Frankfurt,de Bundesliga,26,1991,2,29,15,0.9,0.3,0,,0,2,,5,0.50,1,1,0,0.00,0.00,0.5,0.5,0.0,+0.06,+0.04,Matches,eb61713c
358,Emmanuel Boateng,gh GHA,FW,Levante,es La Liga,21,1996,25,1276,51,37.3,14.2,10,80,5,15,31,3,1.28,24,21,+3,+0.21,+0.93,22.9,21.5,+1.3,+0.09,+0.94,Matches,2e23c66b
359,Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,28,1988,19,1640,86,53.6,18.2,19,,15,0,,7,2.79,58,12,+46,+2.52,+1.38,43.3,13.6,+29.7,+1.63,+0.72,Matches,2db2fd7b
360,Kevin-Prince Boateng,gh GHA,MFFW,Eint Frankfurt,de Bundesliga,30,1987,31,2357,76,77.0,26.2,27,,19,4,,0,1.58,41,30,+11,+0.42,+1.83,34.0,29.9,+4.1,+0.16,+0.61,Matches,f4ec4fd0
361,Raúl Bobadilla,py PAR,FWMF,M'Gladbach,de Bundesliga,30,1987,13,449,35,14.7,5.0,5,,1,8,,4,1.15,5,6,-1,-0.20,-0.06,8.6,8.7,-0.1,-0.02,+0.01,Matches,9b285700
362,Giacomo Boccafoglia,it ITA,DF,SPAL,it Serie A,18,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,dc783952
363,Paweł Bochniewicz,pl POL,DF,Udinese,it Serie A,21,1996,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches,9bf068be
364,Yann Bodiger,fr FRA,MF,Toulouse,fr Ligue 1,22,1995,7,227,32,6.6,2.5,2,73,1,5,16,8,0.57,3,4,-1,-0.40,+0.03,4.5,2.9,+1.5,+0.60,+0.83,Matches,8c2c48a9
365,Mathieu Bodmer,fr FRA,DFMF,Amiens,fr Ligue 1,34,1982,13,396,30,11.6,4.4,3,81,2,10,15,0,0.69,3,8,-5,-1.14,-1.14,3.5,10.0,-6.5,-1.48,-1.02,Matches,f3642ba8
366,Jeremie Boga,ci CIV,MF,Chelsea,eng Premier League,20,1997,1,17,17,0.5,0.2,1,,0,0,,0,0.00,0,0,0,0.00,-0.63,0.0,0.0,0.0,-0.04,-0.58,Matches,fe012aca
367,Quentin Boisgard,fr FRA,MF,Toulouse,fr Ligue 1,20,1997,6,179,30,5.2,2.0,1,76,0,5,21,9,0.67,2,2,0,0.00,+0.44,2.9,1.0,+1.9,+0.97,+1.20,Matches,f6496133
368,Yannick Bolasie,cd COD,FW,Everton,eng Premier League,28,1989,16,851,53,24.9,9.5,11,,2,5,,4,0.88,9,14,-5,-0.53,-0.21,10.1,12.4,-2.3,-0.24,+0.10,Matches,715fc0fe
369,Deian Boldor,ro ROU,DF,Hellas Verona,it Serie A,22,1995,1,90,90,2.6,1.0,1,,1,0,,8,1.50,1,2,-1,-1.00,+0.27,0.2,2.2,-2.0,-1.97,-1.02,Matches,9b7533de
370,Thomas Bolis,it ITA,MF,Atalanta,it Serie A,18,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,4feea41c
371,Giacomo Bonaventura,it ITA,MF,Milan,it Serie A,27,1989,33,2541,77,74.3,28.2,30,,15,3,,0,1.58,40,29,+11,+0.39,+0.08,37.0,27.6,+9.4,+0.33,-0.17,Matches,d995ed27
372,Federico Bonazzoli,it ITA,FWDF,SPAL,it Serie A,20,1997,11,176,16,5.1,2.0,2,,0,9,,25,0.45,2,3,-1,-0.51,+0.02,2.2,3.4,-1.1,-0.58,-0.01,Matches,bf57eaab
373,Federico Bonazzoli,it ITA,FW,Sampdoria,it Serie A,20,1997,1,28,28,0.8,0.3,0,,0,1,,0,3.00,0,0,0,0.00,+0.11,0.8,0.2,+0.7,+2.18,+2.38,Matches,bf57eaab
374,Daniele Bonera,it ITA,DF,Villarreal,es La Liga,36,1981,15,1190,79,34.8,13.2,14,83,12,1,35,12,1.73,21,14,+7,+0.53,+0.53,17.7,15.2,+2.6,+0.19,+0.30,Matches,13b0c150
375,Gaëtan Bong,cm CMR,DF,Brighton,eng Premier League,29,1988,25,2236,89,65.4,24.8,25,,23,0,,2,1.08,25,36,-11,-0.44,+0.24,26.4,31.3,-4.9,-0.20,+0.48,Matches,cfd5e123
376,Adrien Bongiovanni,be BEL,DF,Monaco,fr Ligue 1,17,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,76596fc0
377,Kevin Bonifazi,it ITA,DFMF,Torino,it Serie A,21,1996,6,408,68,11.9,4.5,4,,3,2,,20,1.83,13,6,+7,+1.54,+1.51,6.3,7.7,-1.4,-0.31,-0.32,Matches,fb77bfef
378,Landry Bonnefoi,fr FRA,GK,Strasbourg,fr Ligue 1,33,1983,4,272,68,8.0,3.0,3,90,3,1,2,5,1.50,5,6,-1,-0.33,+0.30,6.1,4.6,+1.5,+0.48,+0.89,Matches,e65dd8dc
379,Leonardo Bonucci,it ITA,DF,Milan,it Serie A,30,1987,35,3085,88,90.2,34.3,35,,34,0,,0,1.71,52,39,+13,+0.38,+0.11,47.5,34.6,+12.9,+0.38,-0.01,Matches,52ec54d0
380,Wilfried Bony,ci CIV,FW,Swansea City,eng Premier League,28,1988,15,707,47,20.7,7.9,8,,4,7,,0,0.87,3,8,-5,-0.64,+0.13,5.5,9.7,-4.1,-0.52,+0.24,Matches,61abe9b6
381,Giuseppe Borello,it ITA,MF,Crotone,it Serie A,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,498df2a6
382,Celso Borges,cr CRC,MF,La Coruña,es La Liga,29,1988,32,2300,72,67.3,25.6,26,80,16,6,38,2,0.88,26,43,-17,-0.67,+1.02,34.6,38.2,-3.6,-0.14,+0.14,Matches,b8836910
383,Nicola Borghetto,it ITA,GK,Hellas Verona,it Serie A,17,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,e7a8551e
384,Fabio Borini,it ITA,DFFW,Milan,it Serie A,26,1991,29,1610,56,47.1,17.9,19,,9,10,,7,1.59,23,29,-6,-0.34,-1.33,19.9,20.0,-0.1,0.00,-0.72,Matches,ef5b337e
385,Marco Borriello,it ITA,FW,SPAL,it Serie A,35,1982,15,773,52,22.6,8.6,9,,4,6,,2,0.73,8,15,-7,-0.82,-0.37,6.8,11.4,-4.6,-0.53,+0.06,Matches,a889ffc7
386,Davide Borsellini,it ITA,GK,Udinese,it Serie A,18,1999,0,,,,,0,,0,0,,32,,,,,,,,,,,,Matches,21b6d3e9
387,Artur Boruc,pl POL,GK,Bournemouth,eng Premier League,37,1980,0,,,,,0,,0,0,,37,,,,,,,,,,,,Matches,34ccf6fa
388,Olivier Boscagli,fr FRA,DF,Nice,fr Ligue 1,19,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,403f5d20
389,Gabriel Boschilia,br BRA,FWMF,Monaco,fr Ligue 1,21,1996,5,82,16,2.4,0.9,1,56,0,4,7,12,1.60,0,1,-1,-1.10,-2.20,0.6,1.2,-0.6,-0.69,-1.08,Matches,e90af77c
390,Devid Bouah,it ITA,DF,Roma,it Serie A,15,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,8c257a54
391,Ryad Boudebouz,dz ALG,MFFW,Betis,es La Liga,27,1990,27,1360,50,39.8,15.1,15,72,3,12,23,3,1.63,27,22,+5,+0.33,+0.59,19.3,18.8,+0.4,+0.03,+0.18,Matches,1001ae82
392,Jean-Christophe Bouet,fr FRA,GK,Amiens,fr Ligue 1,34,1983,1,90,90,2.6,1.0,1,90,1,0,,36,0.00,0,1,-1,-1.00,-0.89,0.7,1.4,-0.7,-0.69,-0.11,Matches,96908f80
393,Sofiane Boufal,ma MAR,FWMF,Southampton,eng Premier League,23,1993,26,1219,47,35.6,13.5,11,,3,15,,6,0.81,18,24,-6,-0.44,+0.09,14.8,17.4,-2.6,-0.19,-0.08,Matches,b0c71810
394,Arnold Bouka Moutou,cg CGO,DF,Dijon,fr Ligue 1,28,1988,6,336,56,9.8,3.7,3,89,2,3,23,9,1.17,4,11,-7,-1.87,-1.55,4.1,7.4,-3.4,-0.90,-0.35,Matches,f3085377
395,Farid Boulaya,dz ALG,MFFW,Metz,fr Ligue 1,24,1993,7,179,26,5.2,2.0,0,,0,7,26,7,0.57,5,5,0,0.00,+1.17,2.2,3.7,-1.4,-0.72,+0.10,Matches,a0791826
396,Yassine Bounou,ma MAR,GK,Girona,es La Liga,26,1991,30,2655,89,77.6,29.5,30,89,29,0,,8,1.50,42,46,-4,-0.14,+0.45,38.8,40.7,-1.9,-0.07,-0.32,Matches,f6798fc3
397,Emmanuel Bourgaud,fr FRA,FWMF,Amiens,fr Ligue 1,29,1987,17,542,32,15.8,6.0,4,70,0,13,20,15,1.00,4,10,-6,-1.00,-1.03,6.7,9.9,-3.2,-0.53,+0.06,Matches,7cf9f0ed
398,Benjamin Bourigeaud,fr FRA,MFFW,Rennes,fr Ligue 1,23,1994,37,3102,84,90.7,34.5,35,87,30,2,29,0,1.57,46,41,+5,+0.15,-0.14,45.9,45.8,+0.1,0.00,-0.10,Matches,20e73fac
399,Eneko Bóveda,es ESP,DF,La Coruña,es La Liga,28,1988,8,667,83,19.5,7.4,7,86,5,1,67,0,0.38,2,15,-13,-1.75,-0.94,6.9,9.7,-2.7,-0.37,-0.22,Matches,1771f2c1
400,Eneko Bóveda,es ESP,DF,Athletic Club,es La Liga,28,1988,6,522,87,15.3,5.8,6,87,5,0,,12,0.67,4,9,-5,-0.86,-0.77,6.3,8.7,-2.4,-0.42,-0.47,Matches,1771f2c1
401,Lucas Boyé,ar ARG,FW,Torino,it Serie A,21,1996,11,155,14,4.5,1.7,0,,0,11,,8,1.18,2,3,-1,-0.58,-0.83,2.7,4.1,-1.4,-0.86,-0.87,Matches,d49f3e6b
402,Lucas Boyé,ar ARG,FWMF,Celta Vigo,es La Liga,21,1996,13,276,21,8.1,3.1,2,54,0,11,15,2,1.08,0,8,-8,-2.61,-2.81,3.5,4.6,-1.2,-0.39,-0.41,Matches,d49f3e6b
403,Robbie Brady,ie IRL,MF,Burnley,eng Premier League,25,1992,15,1277,85,37.3,14.2,15,,13,0,,0,1.67,14,12,+2,+0.14,+0.35,9.6,19.8,-10.2,-0.72,-0.35,Matches,96bb8cc2
404,Martin Braithwaite,dk DEN,FW,Bordeaux,fr Ligue 1,26,1991,14,914,65,26.7,10.2,11,77,7,3,22,0,1.64,20,11,+9,+0.89,+1.03,16.5,13.1,+3.4,+0.33,+0.19,Matches,fd771f95
405,Federico Brancolini,it ITA,GK,Fiorentina,it Serie A,16,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,d4890c25
406,Brandon,es ESP,FWMF,Rennes,fr Ligue 1,22,1995,11,357,32,10.4,4.0,3,68,1,8,19,8,1.82,7,5,+2,+0.50,+0.39,5.4,4.9,+0.5,+0.12,+0.12,Matches,3e016e5a
407,Julian Brandt,de GER,FWMF,Leverkusen,de Bundesliga,21,1996,34,2326,68,76.0,25.8,26,,12,8,,0,1.62,51,34,+17,+0.66,+1.03,41.9,29.6,+12.3,+0.48,-0.30,Matches,a167537f
408,Darko Brašanac,rs SRB,MFFW,Leganés,es La Liga,25,1992,23,1203,52,35.2,13.4,13,72,5,10,27,3,1.00,15,18,-3,-0.22,+0.34,12.9,18.2,-5.4,-0.40,-0.31,Matches,4accb7e0
409,Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,34,1983,3,226,75,6.6,2.5,2,,2,1,,35,3.00,8,1,+7,+2.79,+0.76,3.9,1.7,+2.2,+0.87,-0.61,Matches,10072610
410,Josip Brekalo,hr CRO,FW,Wolfsburg,de Bundesliga,19,1998,13,869,67,28.4,9.7,10,,2,3,,3,0.77,10,13,-3,-0.31,+0.06,9.8,13.5,-3.8,-0.41,+0.16,Matches,d4a2533d
411,Josip Brekalo,hr CRO,MFFW,Stuttgart,de Bundesliga,19,1998,14,726,52,23.7,8.1,7,,3,7,,2,1.00,6,9,-3,-0.37,-0.49,10.5,10.8,-0.4,-0.05,+0.06,Matches,d4a2533d
412,Jimmy Briand,fr FRA,FW,Guingamp,fr Ligue 1,31,1985,37,3209,87,93.8,35.7,36,88,32,1,45,0,1.24,45,51,-6,-0.17,+1.96,42.8,44.6,-1.8,-0.05,+0.67,Matches,f83c8d6c
413,Fabrizio Brignani,it ITA,DF,Bologna,it Serie A,19,1998,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches,4a6667d7
414,Enrico Brignola,it ITA,MFFW,Benevento,it Serie A,18,1999,18,1347,75,39.4,15.0,16,,8,2,,9,1.17,22,26,-4,-0.27,+1.77,19.1,22.5,-3.4,-0.23,+1.15,Matches,d0643f8f
415,Alberto Brignoli,it ITA,GK,Benevento,it Serie A,25,1991,13,1126,87,32.9,12.5,11,,11,2,,25,0.38,14,31,-17,-1.36,-0.02,12.3,25.4,-13.2,-1.05,-0.20,Matches,6989550f
416,Miguel Britos,uy URU,DF,Watford,eng Premier League,32,1985,12,797,66,23.3,8.9,10,,7,2,,7,1.42,15,16,-1,-0.11,+0.54,13.8,13.5,+0.3,+0.04,+0.28,Matches,356a9a62
417,Leon Britton,eng ENG,MF,Swansea City,eng Premier League,34,1982,5,302,60,8.8,3.4,4,,0,1,,2,0.80,2,1,+1,+0.30,+1.14,4.1,3.1,+1.0,+0.30,+1.11,Matches,b92dd711
418,Petar Brlek,hr CRO,MF,Genoa,it Serie A,23,1994,5,232,46,6.8,2.6,3,,0,2,,11,1.60,2,2,0,0.00,+0.28,1.2,3.7,-2.4,-0.94,-1.03,Matches,4590c6e7
419,John Brooks,us USA,DF,Wolfsburg,de Bundesliga,24,1993,9,727,81,23.8,8.1,9,,7,0,,2,1.44,16,9,+7,+0.87,+1.60,11.9,10.1,+1.8,+0.23,+0.98,Matches,e27da244
420,Daniel Brosinski,de GER,DFFW,Mainz 05,de Bundesliga,29,1988,29,2500,86,81.7,27.8,28,,25,1,,3,1.10,34,42,-8,-0.29,+0.68,29.6,37.5,-7.9,-0.28,+0.47,Matches,a7813ac4
421,Izzy Brown,eng ENG,MFFW,Brighton,eng Premier League,20,1997,13,311,24,9.1,3.5,4,,0,9,,2,0.92,1,8,-7,-2.03,-1.65,2.6,7.7,-5.1,-1.47,-1.22,Matches,bf54c8cc
422,Marcus Browne,eng ENG,FWMF,West Ham,eng Premier League,19,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,7358a89a
423,Marcelo Brozović,hr CRO,MF,Inter,it Serie A,24,1992,31,1926,62,56.3,21.4,21,,14,10,,3,1.84,42,15,+27,+1.26,+0.72,33.8,19.8,+14.0,+0.65,+0.32,Matches,33b8d077
424,Bruma,pt POR,MFFW,RB Leipzig,de Bundesliga,22,1994,28,1611,58,52.6,17.9,16,,5,12,,5,1.43,23,26,-3,-0.17,-0.60,28.7,23.4,+5.4,+0.30,+0.31,Matches,5caa62a7
425,Jeffrey Bruma,nl NED,DF,Wolfsburg,de Bundesliga,25,1991,11,990,90,32.4,11.0,11,,11,0,,4,0.55,7,18,-11,-1.00,-0.96,9.4,17.6,-8.2,-0.74,-0.33,Matches,fbffc4b1
426,Bruno,es ESP,DF,Brighton,eng Premier League,36,1980,25,2016,81,58.9,22.4,23,,19,2,,10,1.24,16,23,-7,-0.31,+0.52,18.6,28.6,-10.1,-0.45,-0.21,Matches,78803d03
427,Chris Brunt,nir NIR,MFDF,West Brom,eng Premier League,32,1984,26,1920,74,56.1,21.3,22,,15,4,,9,1.04,22,23,-1,-0.05,+1.39,23.1,25.1,-2.0,-0.09,+0.47,Matches,ec7e6ad1
428,Jacob Bruun Larsen,dk DEN,MFDF,Stuttgart,de Bundesliga,18,1998,4,107,27,3.5,1.2,1,,0,3,,6,1.00,0,3,-3,-2.52,-2.61,0.4,1.9,-1.5,-1.25,-1.20,Matches,4e204552
429,Jacob Bruun Larsen,dk DEN,DF,Dortmund,de Bundesliga,18,1998,1,7,7,0.2,0.1,0,,0,1,,1,3.00,0,0,0,0.00,-0.50,0.1,0.1,0.0,+0.45,-0.26,Matches,4e204552
430,Lorenzo Bruzzi,it ITA,GK,Bologna,it Serie A,17,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,b7914788
431,Marcel Büchel,li LIE,MF,Hellas Verona,it Serie A,26,1991,23,1696,74,49.6,18.8,20,,13,3,,6,0.78,17,35,-18,-0.96,+0.61,16.4,36.3,-19.9,-1.05,-0.15,Matches,2edeb221
432,Ante Budimir,hr CRO,FW,Crotone,it Serie A,26,1991,22,1588,72,46.4,17.6,17,,11,5,,2,0.73,11,31,-20,-1.13,-0.84,14.6,26.3,-11.7,-0.66,-0.06,Matches,8f3565b3
433,Alberto Bueno,es ESP,MFFW,Málaga,es La Liga,29,1988,11,226,21,6.6,2.5,1,59,0,10,17,9,0.27,1,4,-3,-1.19,-0.24,3.7,4.1,-0.5,-0.19,+0.39,Matches,9b878773
434,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,39,1978,21,1862,89,54.4,20.7,21,,20,0,,11,2.52,55,14,+41,+1.98,+0.77,30.4,16.5,+13.9,+0.67,-0.14,Matches,e40d028b
435,Onur Bulut,tr TUR,FW,Freiburg,de Bundesliga,23,1994,1,39,39,1.3,0.4,0,,0,1,,0,0.00,0,3,-3,-6.92,-6.30,0.1,1.0,-0.9,-2.01,-1.84,Matches,32e96d52
436,Niko Bungert,de GER,DF,Mainz 05,de Bundesliga,30,1986,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,0e0ab524
437,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,18,1999,1,9,9,0.3,0.1,0,,0,1,,2,3.00,0,0,0,0.00,-0.21,0.0,0.0,0.0,-0.46,-0.44,Matches,4ae67f27
438,Nicolás Burdisso,ar ARG,DF,Torino,it Serie A,36,1981,24,2069,86,60.5,23.0,23,,22,1,,11,1.46,31,21,+10,+0.43,+0.57,28.4,27.0,+1.5,+0.06,+0.23,Matches,9417f322
439,Guido Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,28,1989,32,2324,73,75.9,25.8,24,,14,8,,0,1.78,41,33,+8,+0.31,-0.67,35.3,33.5,+1.8,+0.07,-0.52,Matches,2bcc6d52
440,Burgui,es ESP,MFFW,Alavés,es La Liga,23,1993,23,1034,45,30.2,11.5,12,65,1,11,24,4,0.83,15,12,+3,+0.26,+0.75,15.0,16.5,-1.4,-0.13,+0.48,Matches,45e304c8
441,Oliver Burke,sct SCO,FWMF,West Brom,eng Premier League,20,1997,15,367,24,10.7,4.1,2,,0,13,,10,0.20,6,12,-6,-1.47,-0.91,4.8,5.6,-0.8,-0.20,+0.11,Matches,f631c17f
442,Reece Burke,eng ENG,DF,West Ham,eng Premier League,20,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,a681b7b7
443,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,26,1990,33,2969,90,97.0,33.0,33,,32,0,,0,1.64,60,43,+17,+0.52,+0.52,63.6,41.1,+22.5,+0.68,-0.62,Matches,9d12e142
444,Patrick Burner,mq MTQ,DF,Nice,fr Ligue 1,21,1996,13,897,69,26.2,10.0,10,88,9,3,5,18,1.69,11,11,0,0.00,-0.04,10.4,12.9,-2.5,-0.25,-0.33,Matches,8746d5d0
445,Dženis Burnić,de GER,MF,Stuttgart,de Bundesliga,19,1998,6,305,51,10.0,3.4,3,,1,3,,11,0.50,4,3,+1,+0.30,+0.33,4.2,4.0,+0.2,+0.06,+0.17,Matches,0dabaf14
446,Oriol Busquets,es ESP,MF,Barcelona,es La Liga,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,49712367
447,Sergio Busquets,es ESP,MF,Barcelona,es La Liga,29,1988,31,2593,84,75.8,28.8,30,86,22,1,24,2,2.45,72,23,+49,+1.70,-0.58,60.2,31.2,+29.1,+1.01,-0.35,Matches,5ab0ea87
448,Gaëtan Bussmann,fr FRA,DF,Mainz 05,de Bundesliga,26,1991,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,278f6efc
449,Unai Bustinza,es ESP,DF,Leganés,es La Liga,25,1992,20,1637,82,47.9,18.2,18,90,17,2,11,10,1.15,18,30,-12,-0.66,-0.41,20.0,21.6,-1.6,-0.09,+0.22,Matches,f3112790
450,Matt Butcher,eng ENG,MF,Bournemouth,eng Premier League,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,b170cfa2
451,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,34,1983,19,1652,87,48.3,18.4,19,87,18,0,,0,1.21,21,22,-1,-0.05,+0.40,24.8,20.2,+4.6,+0.25,+0.39,Matches,26975a92
452,Karlo Butić,hr CRO,FW,Torino,it Serie A,18,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,165f9fbf
453,Jack Butland,eng ENG,GK,Stoke City,eng Premier League,24,1993,35,3150,90,92.1,35.0,35,,35,0,,0,0.91,32,61,-29,-0.83,+0.50,33.8,57.7,-23.9,-0.68,+0.02,Matches,cc70a1d5
454,Sam Byram,eng ENG,DFMF,West Ham,eng Premier League,23,1993,5,248,50,7.3,2.8,2,,1,3,,7,1.00,4,7,-3,-1.09,-0.61,2.4,4.1,-1.7,-0.62,-0.15,Matches,1bf811d4
455,Jakub Błaszczykowski,pl POL,FWMF,Wolfsburg,de Bundesliga,31,1985,9,520,58,17.0,5.8,6,,2,3,,2,1.00,8,10,-2,-0.35,+0.01,6.1,10.5,-4.4,-0.76,-0.29,Matches,2b350e6b
456,Erick Cabaco,uy URU,DF,Levante,es La Liga,22,1995,14,1040,74,30.4,11.6,12,86,10,2,7,6,1.43,11,17,-6,-0.52,-0.22,11.8,19.0,-7.2,-0.62,-0.18,Matches,e7ab4179
457,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,35,1981,3,270,90,7.9,3.0,3,,3,0,,35,1.33,6,4,+2,+0.67,+0.04,4.2,2.9,+1.3,+0.43,-0.12,Matches,a179d516
458,Yohan Cabaye,fr FRA,MF,Crystal Palace,eng Premier League,31,1986,31,2376,77,69.5,26.4,28,,13,3,,2,1.29,32,36,-4,-0.15,+0.37,39.2,30.3,+8.8,+0.33,+0.64,Matches,ad7b19ef
459,Rémy Cabella,fr FRA,FWMF,Marseille,fr Ligue 1,27,1990,3,64,21,1.9,0.7,0,,0,3,21,1,1.33,2,2,0,0.00,-0.88,2.9,2.3,+0.7,+0.97,+0.01,Matches,148e136f
460,Rémy Cabella,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,27,1990,26,2259,87,66.1,25.1,25,89,22,1,22,0,1.54,31,28,+3,+0.12,+0.58,34.3,38.4,-4.1,-0.16,-0.23,Matches,148e136f
461,Gustavo Cabral,ar ARG,DF,Celta Vigo,es La Liga,31,1985,26,1891,73,55.3,21.0,20,87,15,6,27,11,1.27,32,30,+2,+0.10,+0.27,28.8,36.0,-7.1,-0.34,-0.74,Matches,92b4a127
462,Rafael Cabral,br BRA,GK,Napoli,it Serie A,27,1990,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches,806f7a26
463,Nicolò Cabras,it ITA,GK,Cagliari,it Serie A,16,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,9bc28e3e
464,Leandro Cabrera,uy URU,DF,Crotone,it Serie A,26,1991,5,365,73,10.7,4.1,4,,3,1,,14,0.20,1,10,-9,-2.22,-1.72,2.3,5.4,-3.1,-0.77,-0.15,Matches,69cbc8b6
465,Leandro Cabrera,uy URU,DF,Getafe,es La Liga,26,1991,9,720,80,21.1,8.0,8,90,7,1,3,5,1.78,9,6,+3,+0.37,+0.17,8.4,5.9,+2.5,+0.31,+0.11,Matches,69cbc8b6
466,Fabrizio Cacciatore,it ITA,DF,Chievo,it Serie A,30,1986,33,2871,87,83.9,31.9,32,,30,1,,1,1.03,31,51,-20,-0.63,-0.14,30.3,44.7,-14.4,-0.45,+0.65,Matches,00b0bb87
467,Martín Cáceres,uy URU,DF,Hellas Verona,it Serie A,30,1987,14,1165,83,34.1,12.9,14,,11,0,,3,0.86,15,27,-12,-0.93,+0.51,13.5,25.2,-11.8,-0.91,+0.10,Matches,e94d79e3
468,Martín Cáceres,uy URU,DF,Lazio,it Serie A,30,1987,6,441,74,12.9,4.9,4,,4,2,,11,1.83,12,7,+5,+1.02,-0.04,8.2,6.4,+1.8,+0.36,-0.19,Matches,e94d79e3
469,Anthony Caci,fr FRA,DFMF,Strasbourg,fr Ligue 1,20,1997,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches,0118c54c
470,Cafú,pt POR,MF,Metz,fr Ligue 1,24,1993,10,680,68,19.9,7.6,8,79,5,2,26,3,0.40,2,12,-10,-1.32,-0.27,7.6,14.5,-6.9,-0.91,-0.12,Matches,85322440
471,Jonathan Cafu,br BRA,FWMF,Bordeaux,fr Ligue 1,26,1991,19,633,33,18.5,7.0,5,69,1,14,21,1,1.16,14,10,+4,+0.57,+0.54,11.4,8.6,+2.8,+0.40,+0.24,Matches,8d043f1d
472,Gary Cahill,eng ENG,DF,Chelsea,eng Premier League,31,1985,27,2086,77,61.0,23.2,24,,22,3,,7,1.85,35,24,+11,+0.47,-0.40,33.5,22.5,+11.0,+0.47,-0.17,Matches,7914b9fe
