,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
246,Gil Bastião Dias,pt POR,MF,Monaco,fr Ligue 1,20,1996,1,8,8,0.2,0.1,0,,0,1,8,0,3.00,0,0,0,0.00,-1.06,0.1,0.3,-0.2,-2.69,-3.06,Matches,e61bdd69
247,Samuel Bastien,cd COD,MF,Chievo,it Serie A,20,1996,21,1355,65,39.6,15.1,15,,9,6,,13,1.05,9,24,-15,-1.00,-0.65,11.8,25.5,-13.6,-0.91,-0.58,Matches,ec30b9c8
248,Borja Bastón,es ESP,FW,Málaga,es La Liga,24,1992,20,985,49,28.8,10.9,8,85,5,12,25,5,0.50,7,18,-11,-1.01,-0.04,13.2,19.9,-6.7,-0.61,-0.08,Matches,8c44e37b
249,Alessandro Bastoni,it ITA,DF,Atalanta,it Serie A,18,1999,4,91,23,2.7,1.0,0,,0,4,,18,2.25,0,1,-1,-0.99,-1.50,1.2,0.5,+0.7,+0.68,-0.04,Matches,75b86fb3
250,Bastos,ao ANG,DF,Lazio,it Serie A,26,1991,21,1407,67,41.1,15.6,16,,11,5,,15,1.71,32,21,+11,+0.70,-0.59,25.3,19.3,+6.0,+0.38,-0.24,Matches,c01c66d9
251,Michy Batshuayi,be BEL,FW,Chelsea,eng Premier League,23,1993,12,360,30,10.5,4.0,3,,1,9,,9,2.08,11,7,+4,+1.00,+0.41,4.8,3.6,+1.2,+0.30,-0.27,Matches,2973d8ff
252,Michy Batshuayi,be BEL,FW,Dortmund,de Bundesliga,23,1993,10,839,84,27.4,9.3,9,,9,1,,0,2.00,14,14,0,0.00,-0.69,15.2,14.6,+0.6,+0.07,-0.87,Matches,2973d8ff
253,Moritz Bauer,at AUT,DFMF,Stoke City,eng Premier League,25,1992,15,1306,87,38.2,14.5,15,,12,0,,1,0.87,10,18,-8,-0.55,+0.51,11.9,21.8,-10.0,-0.69,0.00,Matches,cfe6238d
254,Robert Bauer,de GER,DFFW,Werder Bremen,de Bundesliga,22,1995,16,956,60,31.2,10.6,12,,9,4,,18,1.00,6,16,-10,-0.94,-1.24,9.8,13.2,-3.4,-0.32,-0.20,Matches,9b88e120
255,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34,3060,90,100.0,34.0,34,,34,0,,0,1.62,66,48,+18,+0.53,,50.5,47.2,+3.3,+0.10,,Matches,47064058
