Rk,Squad,Comp,# Pl,Weekly Wages,Annual Wages,% Estimated
76,Hellas Verona,it Serie A,41,€ 343173 (£ 287754 $349732),€ 17845000 (£ 14963185 $18186047),100%
77,Mainz 05,de Bundesliga,33,€ 342673 (£ 287334 $349222),€ 17819000 (£ 14941378 $18159552),100%
78,Benevento,it Serie A,48,€ 340846 (£ 285802 $347360),€ 17724000 (£ 14861727 $18062733),100%
79,Udinese,it Serie A,46,€ 332615 (£ 278901 $338972),€ 17296000 (£ 14502844 $17626553),100%
80,Augsburg,de Bundesliga,33,€ 318519 (£ 267081 $324607),€ 16563000 (£ 13888213 $16879548),100%
81,Alavés,es La Liga,33,€ 301769 (£ 253036 $307537),€ 15692000 (£ 13157875 $15991901),100%
82,Nantes,fr Ligue 1,36,€ 284250 (£ 238346 $289683),€ 14781000 (£ 12393992 $15063490),100%
83,Rennes,fr Ligue 1,35,€ 272212 (£ 228252 $277414),€ 14155000 (£ 11869086 $14425526),100%
84,Getafe,es La Liga,36,€ 270423 (£ 226752 $275591),€ 14062000 (£ 11791104 $14330747),100%
85,Girona,es La Liga,30,€ 260654 (£ 218560 $265635),€ 13554000 (£ 11365144 $13813041),100%
86,Chievo,it Serie A,36,€ 255788 (£ 214481 $260677),€ 13301000 (£ 11153003 $13555204),100%
87,Metz,fr Ligue 1,44,€ 253885 (£ 212884 $258737),€ 13202000 (£ 11069988 $13454314),100%
88,Amiens,fr Ligue 1,34,€ 237115 (£ 198823 $241647),€ 12330000 (£ 10338805 $12565645),100%
89,Montpellier,fr Ligue 1,30,€ 230885 (£ 193599 $235297),€ 12006000 (£ 10067131 $12235453),100%
90,Dijon,fr Ligue 1,35,€ 211635 (£ 177457 $215679),€ 11005000 (£ 9227786 $11215324),100%
91,Strasbourg,fr Ligue 1,31,€ 207769 (£ 174216 $211740),€ 10804000 (£ 9059242 $11010479),100%
92,Caen,fr Ligue 1,33,€ 201135 (£ 168653 $204979),€ 10459000 (£ 8769954 $10658893),100%
93,Crotone,it Serie A,40,€ 198192 (£ 166186 $201980),€ 10306000 (£ 8641672 $10502963),100%
94,Angers,fr Ligue 1,33,€ 194808 (£ 163348 $198531),€ 10130000 (£ 8494086 $10323602),100%
95,Guingamp,fr Ligue 1,30,€ 177154 (£ 148545 $180540),€ 9212000 (£ 7724338 $9388060),100%
96,Troyes,fr Ligue 1,30,€ 132115 (£ 110780 $134640),€ 6870000 (£ 5760548 $7001300),100%
