,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
264,Ramy Bensebaini,dz ALG,DF,Rennes,fr Ligue 1,22,1995,26.0,0,19,3,15.8,0.73,0.12,0.00,0.00,19.4,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches,378825c7
265,Nabil Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,22,1994,11.2,4,11,4,36.4,0.98,0.36,0.00,0.00,30.9,0,4,4,3.5,0.3,0.03,+0.5,-0.3,Matches,3189f61a
266,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,20,1997,6.5,0,5,2,40.0,0.77,0.31,0.00,0.00,28.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,3b8674e6
267,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,26,1990,24.9,3,58,17,29.3,2.33,0.68,0.03,0.12,12.5,0,1,2,10.2,8.6,0.15,-7.2,-6.6,Matches,ab070c55
268,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,29,1987,23.9,5,61,15,24.6,2.55,0.63,0.05,0.20,13.2,0,2,2,12.8,11.2,0.19,-7.8,-8.2,Matches,70d74ece
269,Yassine Benzia,dz ALG,MFFW,Lille,fr Ligue 1,22,1994,25.4,1,29,7,24.1,1.14,0.28,0.03,0.14,21.9,1,0,0,1.5,1.5,0.05,-0.5,-0.5,Matches,6fbde63a
270,Saido Berahino,bi BDI,FW,Stoke City,eng Premier League,23,1993,5.5,0,9,3,33.3,1.64,0.55,0.00,0.00,18.9,0,0,1,2.0,1.2,0.14,-2.0,-1.2,Matches,25b166d0
271,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,22,1994,25.5,4,81,23,28.4,3.18,0.90,0.02,0.09,22.6,5,2,4,8.9,5.8,0.07,-4.9,-3.8,Matches,53a0e358
272,Yuri Berchiche,es ESP,DF,Paris S-G,fr Ligue 1,27,1990,19.1,2,10,4,40.0,0.52,0.21,0.20,0.50,22.6,0,0,0,0.4,0.4,0.04,+1.6,+1.6,Matches,b6e50615
273,Álex Berenguer,es ESP,FW,Torino,it Serie A,22,1995,11.6,1,14,9,64.3,1.21,0.78,0.07,0.11,21.0,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches,dc1c2fce
