,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
414,Fabrizio Caligara,it ITA,MF,Cagliari,it Serie A,17,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,22ca11f1
415,Daniel Caligiuri,it ITA,DFMF,Schalke 04,de Bundesliga,29,1988,32.4,6,32,16,50.0,0.99,0.49,0.09,0.19,21.8,1,3,3,4.3,1.9,0.06,+1.7,+1.1,Matches,d1273f09
416,José Callejón,es ESP,FW,Napoli,it Serie A,30,1987,36.0,10,64,32,50.0,1.78,0.89,0.16,0.31,14.2,0,0,0,9.6,9.6,0.15,+0.4,+0.4,Matches,78841da9
417,Jonathan Calleri,ar ARG,FW,Las Palmas,es La Liga,23,1993,34.5,9,94,23,24.5,2.72,0.67,0.04,0.17,15.8,0,5,5,13.5,9.6,0.10,-4.5,-5.6,Matches,6922f806
418,Simone Calvano,it ITA,MF,Hellas Verona,it Serie A,24,1993,7.2,0,5,0,0.0,0.70,0.00,0.00,,22.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,9dabfcf5
419,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,20,1997,20.9,4,43,16,37.2,2.06,0.77,0.09,0.25,14.7,0,0,0,4.9,4.8,0.11,-0.9,-0.8,Matches,59e6e5bf
420,Ignacio Camacho,es ESP,MFDF,Wolfsburg,de Bundesliga,27,1990,10.6,0,5,2,40.0,0.47,0.19,0.00,0.00,16.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,8ed9b33a
421,Abdoul Camara,gn GUI,FWMF,Guingamp,fr Ligue 1,27,1990,9.9,2,19,6,31.6,1.93,0.61,0.11,0.33,19.7,1,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches,07296190
422,Souleymane Camara,sn SEN,FW,Montpellier,fr Ligue 1,34,1982,10.4,2,18,6,33.3,1.73,0.58,0.11,0.33,13.5,0,0,1,3.3,2.5,0.14,-1.3,-0.5,Matches,c58270f8
423,Víctor Camarasa,es ESP,MF,Betis,es La Liga,23,1994,13.9,1,21,4,19.0,1.51,0.29,0.05,0.25,22.2,1,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches,b2d03887
424,Geoff Cameron,us USA,DFMF,Stoke City,eng Premier League,32,1985,16.9,0,5,0,0.0,0.30,0.00,0.00,,14.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,1a160ea3
425,José Campaña,es ESP,MF,Levante,es La Liga,24,1993,30.4,1,22,8,36.4,0.72,0.26,0.05,0.13,23.7,1,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches,61220da2
426,Joel Campbell,cr CRC,MFFW,Betis,es La Liga,25,1992,2.4,2,7,4,57.1,2.94,1.68,0.29,0.50,18.9,0,0,0,1.1,1.1,0.16,+0.9,+0.9,Matches,895ff3ca
427,Tyrese Campbell,eng ENG,FW,Stoke City,eng Premier League,17,1999,0.9,0,2,1,50.0,2.28,1.14,0.00,0.00,12.1,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,38aefb74
428,Emre Can,de GER,MF,Liverpool,eng Premier League,23,1994,23.2,3,27,8,29.6,1.16,0.34,0.11,0.38,21.3,1,0,0,1.8,1.8,0.07,+1.2,+1.2,Matches,a65ce836
429,Sergio Canales,es ESP,MFFW,Real Sociedad,es La Liga,26,1991,21.4,4,66,15,22.7,3.08,0.70,0.06,0.27,24.8,6,0,0,3.4,3.4,0.05,+0.6,+0.6,Matches,a6de370d
430,João Cancelo,pt POR,DF,Inter,it Serie A,23,1994,20.6,1,12,1,8.3,0.58,0.05,0.08,1.00,23.5,2,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches,bd6351cd
431,João Cancelo,pt POR,MF,Valencia,es La Liga,23,1994,1.0,0,4,2,50.0,4.00,2.00,0.00,0.00,11.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,bd6351cd
432,Antonio Candreva,it ITA,FW,Inter,it Serie A,30,1987,28.2,0,73,23,31.5,2.59,0.82,0.00,0.00,22.1,2,0,0,4.0,4.0,0.06,-4.0,-4.0,Matches,356c9002
433,Paolo Cannavaro,it ITA,DF,Sassuolo,it Serie A,36,1981,16.0,0,5,0,0.0,0.31,0.00,0.00,,16.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,46ed55b6
434,Ander Capa,es ESP,DF,Eibar,es La Liga,25,1992,25.0,0,6,1,16.7,0.24,0.04,0.00,0.00,20.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,37f1cf47
435,Pierrick Capelle,fr FRA,MF,Angers,fr Ligue 1,30,1987,20.9,2,40,12,30.0,1.91,0.57,0.05,0.17,19.9,1,0,0,2.6,2.6,0.07,-0.6,-0.6,Matches,79b2399c
436,Leonardo Capezzi,it ITA,MF,Sampdoria,it Serie A,22,1995,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,07ea0ef2
437,Étienne Capoue,fr FRA,MF,Watford,eng Premier League,29,1988,17.1,1,23,3,13.0,1.34,0.18,0.04,0.33,28.1,0,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches,5acc4a10
438,Elio Capradossi,it ITA,DF,Roma,it Serie A,21,1996,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,174944a3
439,Gianluca Caprari,it ITA,FWMF,Sampdoria,it Serie A,24,1993,20.1,5,68,23,33.8,3.38,1.14,0.07,0.22,17.7,5,0,0,8.2,8.2,0.12,-3.2,-3.2,Matches,54e53b7e
440,Marco Capuano,it ITA,DF,Crotone,it Serie A,25,1991,15.6,0,1,1,100.0,0.06,0.06,0.00,0.00,9.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,616aea37
441,Marco Capuano,it ITA,DF,Cagliari,it Serie A,25,1991,7.7,0,2,0,0.0,0.26,0.00,0.00,,11.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,616aea37
442,Antonio Caracciolo,it ITA,DF,Hellas Verona,it Serie A,27,1990,31.7,2,16,2,12.5,0.50,0.06,0.13,1.00,14.1,0,0,0,1.6,1.6,0.10,+0.4,+0.4,Matches,99d8fc35
443,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,23,1994,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,950ff24d
444,Diego Carlos,br BRA,DF,Nantes,fr Ligue 1,24,1993,25.5,1,25,7,28.0,0.98,0.27,0.04,0.14,17.9,8,0,0,1.6,1.6,0.06,-0.6,-0.6,Matches,b4a014b1
445,Lionel Carole,fr FRA,DF,Sevilla,es La Liga,26,1991,6.0,0,3,1,33.3,0.50,0.17,0.00,0.00,27.9,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,5b5724d2
446,Yannick Carrasco,be BEL,MFFW,Atlético Madrid,es La Liga,23,1993,10.0,3,26,8,30.8,2.60,0.80,0.12,0.38,20.6,0,0,0,2.3,2.3,0.09,+0.7,+0.7,Matches,de39485a
447,Michael Carrick,eng ENG,MF,Manchester Utd,eng Premier League,36,1981,1.2,0,2,1,50.0,1.65,0.83,0.00,0.00,14.7,0,0,0,0.5,0.5,0.26,-0.5,-0.5,Matches,ab7263c1
448,Daniel Carriço,pt POR,DF,Sevilla,es La Liga,28,1988,5.1,0,2,0,0.0,0.39,0.00,0.00,,12.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,e1deea75
449,André Carrillo,pe PER,FWMF,Watford,eng Premier League,26,1991,17.1,1,24,3,12.5,1.40,0.18,0.04,0.33,17.8,0,0,0,2.3,2.3,0.10,-1.3,-1.3,Matches,7527558b
450,Guido Carrillo,ar ARG,FW,Southampton,eng Premier League,26,1991,5.0,0,11,4,36.4,2.20,0.80,0.00,0.00,13.3,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches,8f898ba8
451,Guido Carrillo,ar ARG,FW,Monaco,fr Ligue 1,26,1991,4.7,4,13,6,46.2,2.76,1.27,0.31,0.67,11.0,0,0,0,2.1,2.1,0.16,+1.9,+1.9,Matches,8f898ba8
452,Thomas Carrique,fr FRA,DF,Bordeaux,fr Ligue 1,18,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,23b6ab66
453,Andy Carroll,eng ENG,FW,West Ham,eng Premier League,28,1989,8.3,3,28,8,28.6,3.36,0.96,0.11,0.38,16.4,0,0,0,1.8,1.8,0.07,+1.2,+1.2,Matches,b581987a
454,Tom Carroll,eng ENG,MF,Swansea City,eng Premier League,25,1992,28.6,0,20,3,15.0,0.70,0.11,0.00,0.00,23.8,5,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches,5a1900a4
455,Federico Cartabia,ar ARG,FWMF,La Coruña,es La Liga,24,1993,14.7,2,32,9,28.1,2.18,0.61,0.06,0.22,23.1,3,0,0,1.7,1.7,0.05,+0.3,+0.3,Matches,a8e6bebf
456,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,25,1992,24.7,0,13,6,46.2,0.53,0.24,0.00,0.00,20.8,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches,4958bfb2
457,Casemiro,br BRA,MF,Real Madrid,es La Liga,25,1992,28.8,5,32,12,37.5,1.11,0.42,0.16,0.42,23.2,2,0,0,3.3,3.3,0.10,+1.7,+1.7,Matches,4d224fe8
458,Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,30,1986,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,58bc7d18
459,Francesco Cassata,it ITA,MF,Sassuolo,it Serie A,20,1997,5.1,1,4,1,25.0,0.79,0.20,0.25,1.00,28.4,1,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches,96960855
460,Timothy Castagne,be BEL,DF,Atalanta,it Serie A,21,1995,16.7,0,9,4,44.4,0.54,0.24,0.00,0.00,16.0,0,0,0,1.1,1.1,0.12,-1.1,-1.1,Matches,197640fd
461,Leandro Castán,br BRA,DF,Cagliari,it Serie A,30,1986,12.7,0,1,0,0.0,0.08,0.00,0.00,,9.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,019f4d0d
462,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,25,1992,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,db401046
463,Dani Castellano,es ESP,DF,Las Palmas,es La Liga,29,1987,22.5,0,4,0,0.0,0.18,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,21d4e122
464,Javi Castellano,es ESP,MF,Las Palmas,es La Liga,29,1987,17.4,0,4,2,50.0,0.23,0.11,0.00,0.00,30.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,dac68523
465,Samu Castillejo,es ESP,MFFW,Villarreal,es La Liga,22,1995,23.0,6,57,19,33.3,2.47,0.82,0.11,0.32,20.6,2,0,0,4.5,4.5,0.08,+1.5,+1.5,Matches,130a7a3f
466,Chory Castro,uy URU,MFFW,Málaga,es La Liga,32,1984,22.9,4,31,8,25.8,1.35,0.35,0.10,0.38,19.4,2,1,1,3.4,2.4,0.08,+0.6,+0.6,Matches,8cc3d96e
467,Gonzalo Castro,de GER,MF,Dortmund,de Bundesliga,30,1987,13.4,0,11,2,18.2,0.82,0.15,0.00,0.00,23.1,1,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches,68829001
468,Jonny Castro,es ESP,DF,Celta Vigo,es La Liga,23,1994,35.6,2,15,4,26.7,0.42,0.11,0.13,0.50,20.0,0,0,0,1.8,1.8,0.12,+0.2,+0.2,Matches,e28868f3
469,Lucas Castro,ar ARG,MF,Chievo,it Serie A,28,1989,22.1,3,39,15,38.5,1.77,0.68,0.08,0.20,16.4,0,0,0,3.4,3.4,0.09,-0.4,-0.4,Matches,56b2957b
470,Rubén Castro,es ESP,FW,Betis,es La Liga,36,1981,4.0,1,8,4,50.0,2.01,1.00,0.00,0.00,17.7,0,1,1,1.8,1.1,0.14,-0.8,-1.1,Matches,d109f62b
471,Danilo Cataldi,it ITA,MF,Benevento,it Serie A,22,1994,25.4,1,36,6,16.7,1.42,0.24,0.03,0.17,25.3,5,0,0,1.5,1.5,0.04,-0.5,-0.5,Matches,ba3d3bea
472,Craig Cathcart,nir NIR,DF,Watford,eng Premier League,28,1989,5.8,0,2,1,50.0,0.34,0.17,0.00,0.00,10.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,89e4b358
473,Edinson Cavani,uy URU,FW,Paris S-G,fr Ligue 1,30,1987,28.7,28,100,48,48.0,3.49,1.67,0.25,0.52,15.1,5,3,5,23.4,19.8,0.20,+4.6,+5.2,Matches,527f063d
474,Marijan Ćavar,ba BIH,MF,Eint Frankfurt,de Bundesliga,19,1998,0.4,0,1,0,0.0,2.81,0.00,0.00,,28.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,33ec696b
475,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,20,1996,4.5,2,7,4,57.1,1.57,0.90,0.29,0.50,21.6,0,0,0,0.4,0.4,0.06,+1.6,+1.6,Matches,c0617e2b
476,Federico Ceccherini,it ITA,DF,Crotone,it Serie A,25,1992,35.9,1,16,4,25.0,0.45,0.11,0.06,0.25,15.5,0,0,0,1.6,1.6,0.10,-0.6,-0.6,Matches,d9624b51
477,Emanuel Cecchini,ar ARG,MFDF,Málaga,es La Liga,20,1996,0.3,0,1,0,0.0,3.00,0.00,0.00,,34.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,5c256395
478,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,35,1982,33.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,71672fa0
479,Ricardo Centurión,ar ARG,MFFW,Genoa,it Serie A,24,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fac896b0
480,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,27,1989,24.7,3,10,5,50.0,0.40,0.20,0.30,0.60,9.7,0,0,0,1.1,1.1,0.11,+1.9,+1.9,Matches,7d50454d
481,Fabio Ceravolo,it ITA,FW,Benevento,it Serie A,30,1987,0.6,0,1,0,0.0,1.58,0.00,0.00,,11.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,4cc93246
482,Alessio Cerci,it ITA,FW,Hellas Verona,it Serie A,30,1987,18.2,3,41,12,29.3,2.26,0.66,0.05,0.17,20.0,4,1,1,3.3,2.5,0.06,-0.3,-0.5,Matches,5370cba7
483,Boštjan Cesar,si SVN,DF,Chievo,it Serie A,35,1982,6.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c1d18f10
484,Damir Ceter,co COL,FW,Cagliari,it Serie A,19,1997,2.2,0,1,0,0.0,0.45,0.00,0.00,,9.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,eade5337
485,Nacer Chadli,be BEL,FWMF,West Brom,eng Premier League,27,1989,2.9,1,4,2,50.0,1.38,0.69,0.25,0.50,27.1,2,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches,5b54bf3b
486,Fouad Chafik,ma MAR,DF,Dijon,fr Ligue 1,30,1986,17.9,0,5,1,20.0,0.28,0.06,0.00,0.00,24.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,edd1466a
487,Nathaniel Chalobah,eng ENG,MF,Watford,eng Premier League,22,1994,5.0,0,12,4,33.3,2.42,0.81,0.00,0.00,22.5,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches,422862ea
488,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,22,1995,9.6,0,10,3,30.0,1.04,0.31,0.00,0.00,13.8,0,0,0,1.4,1.4,0.14,-1.4,-1.4,Matches,dc6f5bdd
489,Nereo Champagne,ar ARG,GK,Leganés,es La Liga,32,1985,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7a9fae62
490,Timothy Chandler,us USA,DFFW,Eint Frankfurt,de Bundesliga,27,1990,21.0,2,24,7,29.2,1.14,0.33,0.08,0.29,16.2,0,0,0,1.6,1.6,0.07,+0.4,+0.4,Matches,b3b7f5a6
491,Kwon Chang-hoon,kr KOR,FWMF,Dijon,fr Ligue 1,23,1994,23.7,11,66,27,40.9,2.78,1.14,0.17,0.41,19.8,6,0,0,6.6,6.6,0.10,+4.4,+4.4,Matches,7961f7aa
492,Charles,br BRA,FW,Eibar,es La Liga,33,1984,17.6,8,44,15,34.1,2.50,0.85,0.16,0.47,14.5,0,1,1,8.1,7.3,0.17,-0.1,-0.3,Matches,c4b8bcf4
493,Charly Charrier,fr FRA,MFFW,Amiens,fr Ligue 1,31,1986,1.2,0,2,0,0.0,1.71,0.00,0.00,,8.8,0,0,0,0.4,0.4,0.22,-0.4,-0.4,Matches,346c15cc
494,Pape Cheikh Diop,sn SEN,MF,Lyon,fr Ligue 1,19,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,873ce3a2
495,Chema,es ESP,DF,Levante,es La Liga,25,1992,22.4,1,7,3,42.9,0.31,0.13,0.14,0.33,14.3,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches,7f203b54
496,Denis Cheryshev,ru RUS,MFFW,Villarreal,es La Liga,26,1990,10.3,2,29,9,31.0,2.82,0.87,0.07,0.22,18.1,0,0,0,5.1,5.1,0.17,-3.1,-3.1,Matches,0ac94a23
497,Raman Chibsah,gh GHA,MF,Benevento,it Serie A,24,1993,11.6,0,7,3,42.9,0.60,0.26,0.00,0.00,16.6,0,0,0,0.9,0.9,0.15,-0.9,-0.9,Matches,aa5a409a
498,Leandro Chichizola,ar ARG,GK,Las Palmas,es La Liga,27,1990,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8d957256
499,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,32,1984,24.0,0,10,2,20.0,0.42,0.08,0.00,0.00,14.0,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,e85fb9b8
500,Federico Chiesa,it ITA,FWMF,Fiorentina,it Serie A,19,1997,33.5,6,109,30,27.5,3.26,0.90,0.06,0.20,19.7,0,0,0,7.0,7.0,0.06,-1.0,-1.0,Matches,b0f7e36c
501,Ben Chilwell,eng ENG,DF,Leicester City,eng Premier League,20,1996,20.6,0,6,1,16.7,0.29,0.05,0.00,0.00,24.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,d2424d1b
502,Vlad Chiricheș,ro ROU,DF,Napoli,it Serie A,27,1989,6.5,0,3,0,0.0,0.46,0.00,0.00,,24.8,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,c316607a
503,Hamza Choudhury,eng ENG,MFDF,Leicester City,eng Premier League,19,1997,4.2,0,2,0,0.0,0.48,0.00,0.00,,30.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,7d2d3329
504,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,21,1996,23.2,0,12,1,8.3,0.52,0.04,0.00,0.00,10.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches,1cb49278
505,Chuca,es ESP,MF,Villarreal,es La Liga,20,1997,1.0,0,3,0,0.0,3.07,0.00,0.00,,27.3,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,c4af5889
506,Lee Chung-yong,kr KOR,FWMF,Crystal Palace,eng Premier League,29,1988,1.5,0,1,0,0.0,0.67,0.00,0.00,,12.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,49b05a83
507,Amato Ciciretti,it ITA,MFFW,Benevento,it Serie A,23,1993,9.0,2,35,12,34.3,3.90,1.34,0.06,0.17,22.1,7,0,0,1.6,1.6,0.04,+0.4,+0.4,Matches,1ab0b878
508,Cifu,es ESP,DF,Málaga,es La Liga,26,1990,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,90f83973
509,Luca Cigarini,it ITA,MF,Cagliari,it Serie A,31,1986,22.5,2,22,5,22.7,0.98,0.22,0.09,0.40,31.5,5,0,1,1.6,0.8,0.03,+0.4,+1.2,Matches,ae64d449
510,Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,30,1987,24.3,0,6,2,33.3,0.25,0.08,0.00,0.00,32.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,ecab64a0
511,Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,28,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,04ac8285
512,Thiago Cionek,pl POL,DF,SPAL,it Serie A,31,1986,15.0,1,8,4,50.0,0.53,0.27,0.13,0.25,15.1,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches,46f5c54d
513,Saliou Ciss,sn SEN,DFMF,Angers,fr Ligue 1,27,1989,1.6,0,1,1,100.0,0.62,0.62,0.00,0.00,26.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,2235f850
514,Karamoko Cissé,gn GUI,FWMF,Benevento,it Serie A,28,1988,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b39569c0
515,Issa Cissokho,sn SEN,DF,Amiens,fr Ligue 1,32,1985,18.1,0,4,0,0.0,0.22,0.00,0.00,,22.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,a1017967
516,Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,27,1989,19.4,2,11,3,27.3,0.57,0.15,0.18,0.67,8.7,0,0,0,1.7,1.7,0.16,+0.3,+0.3,Matches,2b91cf8e
517,Christian Clemens,de GER,MFFW,Köln,de Bundesliga,25,1991,7.2,1,17,4,23.5,2.37,0.56,0.06,0.25,21.7,1,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches,612cb8d3
518,Tom Cleverley,eng ENG,MF,Watford,eng Premier League,27,1989,21.1,1,15,3,20.0,0.71,0.14,0.07,0.33,21.5,1,0,1,1.9,1.1,0.07,-0.9,-0.1,Matches,6cdd8245
519,Sam Clucas,eng ENG,MF,Swansea City,eng Premier League,26,1990,22.7,3,20,7,35.0,0.88,0.31,0.15,0.43,17.5,0,0,0,2.6,2.6,0.14,+0.4,+0.4,Matches,987718f5
520,Nathaniel Clyne,eng ENG,DFFW,Liverpool,eng Premier League,26,1991,1.9,0,2,1,50.0,1.03,0.52,0.00,0.00,11.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,0442183b
521,Marcus Coco,fr FRA,FWMF,Guingamp,fr Ligue 1,21,1996,17.6,2,28,10,35.7,1.59,0.57,0.07,0.20,19.5,0,0,0,2.3,2.3,0.08,-0.3,-0.3,Matches,3010aefb
522,Massimo Coda,it ITA,FW,Benevento,it Serie A,28,1988,15.7,4,59,19,32.2,3.75,1.21,0.05,0.16,17.8,2,1,1,5.6,4.8,0.08,-1.6,-1.8,Matches,4c7940d6
523,Isaac Cofie,gh GHA,MF,Genoa,it Serie A,25,1991,6.6,0,5,0,0.0,0.76,0.00,0.00,,23.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,c6dda86e
524,Renaud Cohade,fr FRA,MF,Metz,fr Ligue 1,32,1984,36.6,1,37,7,18.9,1.01,0.19,0.03,0.14,25.8,0,0,0,1.3,1.3,0.04,-0.3,-0.3,Matches,4e7d66f8
525,Coke,es ESP,DF,Levante,es La Liga,30,1987,15.4,3,11,5,45.5,0.72,0.33,0.27,0.60,17.2,0,0,0,1.9,1.9,0.17,+1.1,+1.1,Matches,6d8f8441
526,Coke,es ESP,MF,Schalke 04,de Bundesliga,30,1987,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6d8f8441
527,Emre Çolak,tr TUR,MF,La Coruña,es La Liga,26,1991,16.1,1,17,8,47.1,1.06,0.50,0.06,0.13,22.5,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches,643b39a6
528,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,28,1988,11.5,0,5,2,40.0,0.43,0.17,0.00,0.00,9.7,0,0,0,1.0,1.0,0.21,-1.0,-1.0,Matches,0420d84f
529,James Collins,wls WAL,DF,West Ham,eng Premier League,33,1983,11.7,1,4,1,25.0,0.34,0.09,0.25,1.00,9.9,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches,c61f1719
530,Racine Coly,sn SEN,DF,Nice,fr Ligue 1,21,1995,6.9,0,2,0,0.0,0.29,0.00,0.00,,20.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,166a981d
531,Kingsley Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,21,1996,12.8,3,29,15,51.7,2.26,1.17,0.10,0.20,17.5,0,0,0,2.2,2.2,0.08,+0.8,+0.8,Matches,042e8a49
532,Marvin Compper,de GER,DF,RB Leipzig,de Bundesliga,32,1985,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3e99c613
533,Alois Confais,fr FRA,MFDF,Troyes,fr Ligue 1,20,1996,6.8,0,2,1,50.0,0.29,0.15,0.00,0.00,19.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,535b0343
534,Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,32,1985,29.3,1,11,2,18.2,0.38,0.07,0.09,0.50,10.1,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches,3f5b4635
535,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,30,1987,36.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8cabdc1e
536,Diego Contento,de GER,DFMF,Bordeaux,fr Ligue 1,27,1990,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,15a21c79
537,Andrea Conti,it ITA,DF,Milan,it Serie A,23,1994,1.7,0,1,0,0.0,0.57,0.00,0.00,,12.7,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,8fef5412
538,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,20,1997,24.9,0,18,2,11.1,0.72,0.08,0.00,0.00,27.3,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,2afc7272
539,Steve Cook,eng ENG,DF,Bournemouth,eng Premier League,26,1991,30.7,2,22,6,27.3,0.72,0.20,0.09,0.33,12.5,0,0,0,1.6,1.6,0.07,+0.4,+0.4,Matches,3e5e4e63
540,Duje Čop,hr CRO,FWMF,Cagliari,it Serie A,27,1990,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8b0b02c9
541,Francis Coquelin,fr FRA,MFDF,Arsenal,eng Premier League,26,1991,1.9,0,1,0,0.0,0.53,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,a6951bf8
542,Francis Coquelin,fr FRA,MFDF,Valencia,es La Liga,26,1991,7.3,1,4,3,75.0,0.55,0.41,0.25,0.33,16.7,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches,a6951bf8
543,Sébastien Corchia,fr FRA,DF,Sevilla,es La Liga,26,1990,9.1,0,5,3,60.0,0.55,0.33,0.00,0.00,15.0,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,0e7ccfc4
