,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
15,Aday,es ESP,DF,Girona,es La Liga,29,1987,20.4,10,0,0,39,15,6,134,25,15,0,0,1,97,37,16,69.8,Matches,5890cef1
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,9,0,0,50,39,1,0,65,24,0,1,0,195,64,46,58.2,Matches,16714a62
17,Claud Adjapong,it ITA,DFFW,Sassuolo,it Serie A,19,1998,13.6,5,1,0,24,19,2,27,23,26,0,0,0,80,15,15,50.0,Matches,ce5b170a
18,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,0,0,0,1,4,0,0,0,1,0,1,0,33,5,0,100.0,Matches,f71890f5
19,Yacine Adli,fr FRA,FW,Paris S-G,fr Ligue 1,17,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,26777636
20,Ali Adnan Kadhim,iq IRQ,DFFW,Udinese,it Serie A,23,1993,18.6,4,0,0,21,22,1,88,41,35,0,0,1,94,51,34,60.0,Matches,06050480
21,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,2,0,0,1,3,0,0,0,1,0,0,0,20,2,1,66.7,Matches,f76e6b4e
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,5,0,0,42,39,35,20,3,8,0,0,0,45,99,77,56.3,Matches,293211e1
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,1,0,0,1,0,0,0,1,3,0,0,0,15,0,0,,Matches,9a8c6673
24,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,24,1993,6.8,0,0,0,9,13,4,2,0,3,1,0,0,17,22,38,36.7,Matches,b63f4077
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,4,0,0,19,18,0,50,41,33,0,0,0,120,17,13,56.7,Matches,355c883a
26,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,2.6,0,0,0,1,4,1,1,0,0,1,0,0,6,8,10,44.4,Matches,c84c1afc
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,29,1988,21.8,2,0,0,10,17,16,16,6,6,0,0,0,59,10,19,34.5,Matches,4d034881
28,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24,1993,27.3,2,0,0,29,49,3,95,37,50,0,0,0,174,28,35,44.4,Matches,3dd738a1
29,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,12.8,3,0,0,19,21,1,19,24,20,0,0,0,87,14,17,45.2,Matches,8617e3d9
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,33.4,4,0,0,46,49,1,5,75,34,0,0,0,261,48,47,50.5,Matches,48b28bfd
31,Ailton,br BRA,DFMF,Stuttgart,de Bundesliga,22,1995,1.2,0,0,0,3,3,0,3,2,5,0,0,0,9,4,2,66.7,Matches,74ced675
32,Youssef Aït Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,22.7,4,0,0,20,26,0,11,32,28,0,0,0,207,23,32,41.8,Matches,c46fa34c
33,Arlind Ajeti,al ALB,DF,Crotone,it Serie A,23,1993,14.1,7,0,0,19,6,0,0,34,23,0,1,0,75,20,27,42.6,Matches,f9714604
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,10.0,2,0,0,9,4,0,1,7,15,0,0,0,35,14,15,48.3,Matches,89ac64a6
35,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22,1995,37.3,5,0,0,27,19,2,5,48,32,0,0,0,178,104,89,53.9,Matches,eaeca114
36,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,0.4,1,0,0,1,0,0,7,1,1,0,0,0,6,0,1,0.0,Matches,c5eaff5c
37,Chadrac Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,22,1995,12.2,2,0,0,13,12,8,14,5,14,0,0,0,43,10,25,28.6,Matches,debc2f28
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,18.8,1,0,0,22,17,1,6,22,39,0,0,1,91,27,21,56.3,Matches,6ec6fde0
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,17.2,1,0,0,9,6,2,94,10,14,0,0,0,85,15,17,46.9,Matches,05439de2
40,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,17.2,4,1,0,40,41,14,3,4,10,1,0,0,38,47,92,33.8,Matches,834d0be5
41,David Alba,es ESP,DF,Getafe,es La Liga,18,1999,0.7,0,0,0,3,0,0,0,0,1,0,0,0,3,1,2,33.3,Matches,7a4cd784
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28,1989,30.5,7,0,0,35,21,16,46,68,42,0,0,0,189,15,21,41.7,Matches,4601e194
43,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,19.4,5,0,0,15,14,1,2,26,6,0,1,0,73,39,18,68.4,Matches,348e4809
44,Luis Alberto,es ESP,FWMF,Lazio,it Serie A,24,1992,29.7,5,0,0,19,36,3,213,16,28,1,0,0,145,13,25,34.2,Matches,5294a83f
45,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31,1985,30.5,7,0,0,28,18,2,3,32,19,0,0,0,216,92,51,64.3,Matches,4bd414c1
46,Miiko Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,26,1990,7.8,1,0,0,9,14,0,23,5,20,0,0,0,31,10,17,37.0,Matches,d459281d
47,Marc Albrighton,eng ENG,MFFW,Leicester City,eng Premier League,27,1989,28.2,5,1,0,20,26,2,217,27,33,0,1,0,172,11,15,42.3,Matches,b827d5b3
48,Paco Alcácer,es ESP,MFFW,Barcelona,es La Liga,23,1993,7.7,0,0,0,2,9,7,6,11,3,0,0,0,28,7,17,29.2,Matches,a7a9d95a
49,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28,1989,7.7,4,0,0,11,3,2,4,14,5,0,0,0,26,19,11,63.3,Matches,ba71d071
50,Thiago Alcántara,es ESP,MFFW,Bayern Munich,de Bundesliga,26,1991,13.9,3,0,0,24,14,1,13,27,35,1,0,0,77,21,17,55.3,Matches,77e84962
51,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,2.3,0,0,0,2,2,1,5,7,5,0,0,0,10,5,1,83.3,Matches,9b8970ce
52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,13.1,3,0,0,8,1,0,7,4,13,0,0,0,57,14,29,32.6,Matches,f7d50789
53,Steve Aldo One,cm CMR,DF,La Coruña,es La Liga,22,1995,1.0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches,a8599c17
54,Álex Alegría,es ESP,FW,Levante,es La Liga,24,1992,7.0,1,0,0,16,18,5,2,4,5,0,0,0,16,24,24,50.0,Matches,46166b49
55,Iván Alejo,es ESP,MFFW,Eibar,es La Liga,22,1995,12.2,5,0,0,25,45,3,109,5,16,0,0,0,67,10,13,43.5,Matches,3d7e48ce
56,Alexander,ar ARG,MFFW,Leganés,es La Liga,28,1988,11.8,1,0,0,19,18,8,40,22,11,1,0,0,56,2,4,33.3,Matches,3e1858af
57,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,17.5,3,0,0,12,1,3,102,28,25,0,0,0,133,5,17,22.7,Matches,cd1acf9d
58,Alexis,es ESP,DF,Alavés,es La Liga,31,1985,24.3,6,0,0,20,14,2,6,30,24,0,0,1,112,28,18,60.9,Matches,db0cd1ae
59,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37.0,1,0,0,1,3,0,0,2,0,0,0,0,69,7,0,100.0,Matches,7a2e46a8
60,Allan,br BRA,MF,Napoli,it Serie A,26,1991,31.7,2,0,0,37,47,0,29,28,68,0,0,0,244,11,33,25.0,Matches,cc700722
61,Joe Allen,wls WAL,MF,Stoke City,eng Premier League,27,1990,34.9,8,0,0,49,49,0,37,58,62,0,0,0,244,36,59,37.9,Matches,9feb8f24
62,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,21,1996,32.9,7,0,0,43,84,5,18,19,30,1,0,0,181,28,49,36.4,Matches,cea4ee8f
63,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,30.9,3,0,0,34,9,0,7,56,31,0,0,1,219,91,43,67.9,Matches,b18a3023
64,José Alonso Lara,es ESP,MF,Sevilla,es La Liga,17,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,7e28d6f7
65,Marcos Alonso,es ESP,DFMF,Chelsea,eng Premier League,26,1990,31.7,6,0,0,26,31,8,96,47,33,0,0,0,193,59,52,53.2,Matches,f4290206
66,Ricky Álvarez,ar ARG,MF,Sampdoria,it Serie A,29,1988,3.0,0,0,0,5,4,0,21,2,2,0,0,0,15,6,8,42.9,Matches,92a5ac34
67,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,0,0,0,0,5,0,0,0,0,0,0,0,25,5,1,83.3,Matches,8875b8c9
68,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,7.5,2,0,0,12,10,0,1,11,7,0,0,0,66,13,12,52.0,Matches,3ecc11d8
69,Dani Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,22.9,7,1,0,38,34,4,99,28,57,0,0,0,160,16,19,45.7,Matches,c9e99e49
70,Ibrahim Amadou,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,26.7,3,1,0,23,17,0,4,41,29,0,1,0,177,33,27,55.0,Matches,9260926b
71,Eloi Amagat,es ESP,MF,Girona,es La Liga,32,1985,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches,12a875ce
72,Morgan Amalfitano,fr FRA,MFFW,Rennes,fr Ligue 1,32,1985,8.3,2,2,1,8,14,0,19,4,5,0,0,0,39,2,12,14.3,Matches,ab914649
73,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,27,1989,30.0,5,0,0,35,52,0,20,85,37,0,0,0,228,13,29,31.0,Matches,d7bf3d19
74,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,5.4,1,2,1,5,7,0,0,7,4,0,0,0,30,10,7,58.8,Matches,1a4ef233
75,Jordi Amat,es ESP,DFMF,Betis,es La Liga,25,1992,22.7,7,2,1,38,10,0,0,38,23,0,2,1,112,29,30,49.2,Matches,d70a2141
76,Amath,sn SEN,MFFW,Getafe,es La Liga,21,1996,31.8,9,0,0,72,62,10,21,33,53,0,0,0,183,19,47,28.8,Matches,f3b1d9a2
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,24.4,7,0,0,30,22,1,60,45,35,0,1,0,170,42,21,66.7,Matches,22721b88
78,Stephan Ambrosius,gh GHA,DF,Hamburger SV,de Bundesliga,18,1998,0.5,0,0,0,0,0,1,0,1,0,0,0,0,3,0,2,0.0,Matches,2930c9d8
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,35.0,3,1,0,28,15,0,43,45,43,0,1,0,155,36,38,48.6,Matches,bcc81786
80,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,20,1996,19.4,4,0,0,42,38,3,49,17,26,0,0,0,106,6,14,30.0,Matches,555d5edd
81,Ethan Ampadu,wls WAL,DF,Chelsea,eng Premier League,16,2000,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,33.3,Matches,10b9fa99
82,Nordin Amrabat,ma MAR,FW,Watford,eng Premier League,30,1987,2.2,0,0,0,6,2,2,9,0,3,0,0,0,8,3,6,33.3,Matches,7c2a398c
83,Nordin Amrabat,ma MAR,FWMF,Leganés,es La Liga,30,1987,18.0,6,1,1,54,36,25,61,5,10,0,1,0,76,12,23,34.3,Matches,7c2a398c
84,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,983ccabe
85,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,6.1,0,0,0,3,4,0,0,9,3,0,0,0,33,17,2,89.5,Matches,e34fc66d
86,Felipe Anderson,br BRA,FWMF,Lazio,it Serie A,24,1993,12.9,0,0,0,9,15,0,74,11,21,0,0,0,72,3,12,20.0,Matches,9f1893b9
87,Florin Andone,ro ROU,FW,La Coruña,es La Liga,24,1993,18.2,6,0,0,59,19,17,17,3,7,0,0,0,50,32,70,31.4,Matches,dc008610
88,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36.0,2,1,0,2,11,0,0,2,1,0,1,0,39,6,1,85.7,Matches,326d09ef
89,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,26,1990,33.5,11,1,1,72,48,1,21,57,54,0,0,0,259,187,151,55.3,Matches,ef9c1c95
90,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,31,1986,20.3,5,0,0,29,8,0,4,30,17,0,0,0,58,45,27,62.5,Matches,13d820de
91,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,28,1989,23.0,4,0,0,21,15,0,59,37,30,0,0,0,145,31,23,57.4,Matches,872cd68c
92,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,27,1990,16.0,3,0,0,36,23,13,1,9,5,0,0,0,37,42,41,50.6,Matches,b35db3f6
93,José Ángel,es ESP,DF,Eibar,es La Liga,27,1989,27.0,4,0,0,20,17,1,226,38,44,0,0,0,187,36,29,55.4,Matches,3024e383
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,0,0,0,1,0,0,0,2,0,0,1,0,22,2,0,100.0,Matches,011d8c56
95,Miguel Ángel Rubio,es ESP,DF,Getafe,es La Liga,19,1998,0.3,0,0,0,1,1,0,0,0,0,0,0,0,2,3,1,75.0,Matches,56cafd0a
96,Gabriele Angella,it ITA,DF,Udinese,it Serie A,28,1989,9.9,3,0,0,18,4,0,2,21,13,0,3,0,56,30,13,69.8,Matches,0c971997
97,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,30,1986,20.8,6,2,1,26,36,0,78,20,33,1,1,0,121,5,13,27.8,Matches,bbafc0c4
98,Luca Antei,it ITA,DF,Benevento,it Serie A,25,1992,6.6,1,1,0,10,7,0,1,26,14,0,0,0,28,7,4,63.6,Matches,97c9bce3
99,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,32,1984,28.6,1,0,0,36,70,33,33,11,13,1,0,0,85,21,44,32.3,Matches,43a2e16c
100,Waldemar Anton,de GER,DFMF,Hannover 96,de Bundesliga,21,1996,25.3,1,0,0,20,30,0,8,39,49,0,1,0,154,73,46,61.3,Matches,5e66fa06
101,Luca Antonelli,it ITA,DFFW,Milan,it Serie A,30,1987,1.6,1,0,0,1,4,1,0,1,1,0,0,0,6,1,1,50.0,Matches,40f0ed6c
102,Michail Antonio,jm JAM,FWMF,West Ham,eng Premier League,27,1990,15.0,1,0,0,17,30,7,55,13,9,1,0,0,71,43,53,44.8,Matches,ac05f970
103,Mirko Antonucci,it ITA,FW,Roma,it Serie A,18,1999,0.3,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,,Matches,91976866
104,Vitorino Antunes,pt POR,DF,Getafe,es La Liga,30,1987,31.1,14,0,0,50,36,1,149,58,44,0,0,0,172,18,23,43.9,Matches,3e4f735d
105,Dennis Aogo,de GER,MFDF,Stuttgart,de Bundesliga,30,1987,21.7,5,0,0,33,12,0,104,29,26,0,1,0,96,11,12,47.8,Matches,c311243f
106,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,19,1998,27.0,1,0,0,20,46,6,14,39,42,0,0,0,198,22,30,42.3,Matches,a5db0bec
107,Alberto Aquilani,it ITA,MF,Las Palmas,es La Liga,33,1984,14.4,4,0,0,18,14,1,7,23,19,0,0,0,94,11,13,45.8,Matches,ad340e17
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,21,1995,23.6,9,1,1,49,42,0,6,25,41,0,0,0,166,17,31,35.4,Matches,58afe001
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,20,1997,2.1,0,0,0,2,2,0,3,5,2,0,0,1,19,2,3,40.0,Matches,2b15a82a
110,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,28,1989,25.6,4,0,0,41,52,1,22,48,61,0,1,0,177,13,29,31.0,Matches,56413b1f
111,Luiz Araújo,br BRA,FWMF,Lille,fr Ligue 1,21,1996,22.4,5,0,0,28,25,6,69,16,31,0,0,0,101,5,14,26.3,Matches,fa18c72e
112,Sergio Araujo,ar ARG,MFFW,Las Palmas,es La Liga,25,1992,0.4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0.0,Matches,080ac8d8
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,30,1987,26.8,8,0,0,26,11,0,11,78,30,0,2,1,238,44,35,55.7,Matches,850c0a0d
114,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34.0,0,0,0,0,2,0,0,0,0,0,0,0,88,7,0,100.0,Matches,2f965a72
115,Scott Arfield,ca CAN,MFFW,Burnley,eng Premier League,28,1988,14.8,3,0,0,21,14,1,8,11,26,0,0,0,83,11,30,26.8,Matches,b1313ec4
116,Samuel Armenteros,se SWE,FW,Benevento,it Serie A,27,1990,4.8,1,0,0,8,3,9,1,1,2,0,0,0,7,7,18,28.0,Matches,9c8f641a
117,Yoël Armougom,fr FRA,DFMF,Caen,fr Ligue 1,19,1998,1.5,0,0,0,2,2,0,9,1,1,0,0,0,5,3,3,50.0,Matches,9dd5da03
118,José Arnaiz,es ESP,MF,Barcelona,es La Liga,22,1995,0.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,Matches,46e07328
119,Marko Arnautović,at AUT,FWMF,West Ham,eng Premier League,28,1989,25.7,5,1,0,35,29,43,61,13,16,0,0,0,103,22,39,36.1,Matches,00459419
120,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,23,1994,27.3,9,1,0,52,80,3,114,28,41,0,1,0,127,21,34,38.2,Matches,86e119e0
121,Jann-Fiete Arp,de GER,FWMF,Hamburger SV,de Bundesliga,17,2000,9.4,1,0,0,22,18,3,2,2,5,0,0,0,17,18,46,28.1,Matches,c21fb312
122,Alejandro Arribas,es ESP,DF,La Coruña,es La Liga,28,1989,3.0,0,0,0,5,2,0,0,6,2,0,1,1,15,2,4,33.3,Matches,cc29324e
123,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30.0,3,0,0,1,7,0,0,2,0,0,1,0,47,5,1,83.3,Matches,28d596a0
124,Harry Arter,ie IRL,MF,Bournemouth,eng Premier League,27,1989,10.7,4,0,0,9,15,0,5,9,16,0,0,0,66,6,2,75.0,Matches,2f4c5a52
125,Aythami Artiles,es ESP,DF,Las Palmas,es La Liga,31,1986,2.0,0,0,0,0,1,0,0,2,2,0,0,0,9,5,0,100.0,Matches,01ae64cd
126,Kwadwo Asamoah,gh GHA,DF,Juventus,it Serie A,28,1988,17.4,4,0,0,13,30,1,31,18,21,0,0,0,100,11,8,57.9,Matches,089550f5
127,Takuma Asano,jp JPN,FWMF,Stuttgart,de Bundesliga,22,1994,8.0,1,0,0,11,8,13,11,3,5,0,0,0,32,6,31,16.2,Matches,13ddc856
128,Santiago Ascacíbar,ar ARG,MF,Stuttgart,de Bundesliga,20,1997,26.5,11,1,1,34,58,0,7,47,65,1,0,0,161,27,36,42.9,Matches,e26fcca3
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,28,1989,23.0,3,0,0,2,3,0,0,0,2,0,1,0,32,7,1,87.5,Matches,9f0ea33f
130,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,21,1996,20.5,2,0,0,9,27,3,106,9,17,0,0,0,77,3,3,50.0,Matches,45af8a54
131,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,29,1987,32.6,9,0,0,23,62,11,62,23,22,1,0,0,137,15,40,27.3,Matches,7dcf86f6
132,Benoît Assou-Ekotto,cm CMR,DF,Metz,fr Ligue 1,33,1984,11.7,2,2,1,11,9,1,21,46,9,0,0,0,86,3,8,27.3,Matches,a557e6b0
133,Simon Asta,de GER,MF,Augsburg,de Bundesliga,16,2001,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches,dfc85b89
134,Davide Astori,it ITA,DF,Fiorentina,it Serie A,30,1987,25.0,5,0,0,22,22,1,18,51,31,0,1,0,188,50,24,67.6,Matches,1522dab2
135,Christian Atsu,gh GHA,FWMF,Newcastle Utd,eng Premier League,25,1992,19.8,1,0,0,10,26,6,57,13,16,0,0,0,107,13,68,16.0,Matches,8816329f
136,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,28,1989,11.7,0,0,0,1,8,10,16,3,4,0,0,0,29,8,28,22.2,Matches,d5dd5f1f
137,Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,de Bundesliga,28,1989,15.7,1,1,1,17,8,14,23,3,5,1,0,0,16,24,31,43.6,Matches,d5dd5f1f
138,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,20,1997,14.1,1,0,0,21,43,13,12,4,11,2,0,0,29,17,51,25.0,Matches,97bfa797
139,Ludwig Augustinsson,se SWE,DFFW,Werder Bremen,de Bundesliga,23,1994,28.1,3,0,0,29,14,4,117,39,34,0,0,0,90,42,44,48.8,Matches,9fec8860
140,Yann Aurel Bisseck,de GER,DFMF,Köln,de Bundesliga,16,2000,1.7,0,0,0,1,1,0,1,3,2,0,0,0,6,5,2,71.4,Matches,3963c25b
141,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,24,1992,15.9,2,2,1,21,16,2,68,31,27,0,1,0,89,48,29,62.3,Matches,5c2b4f07
142,Charlie Austin,eng ENG,FW,Southampton,eng Premier League,28,1989,11.5,2,0,0,16,16,14,2,1,5,0,0,0,29,38,71,34.9,Matches,8d228291
143,Danilo Avelar,br BRA,DF,Amiens,fr Ligue 1,28,1989,19.2,2,0,0,23,19,1,64,37,33,1,0,0,106,48,25,65.8,Matches,eacb45fd
144,Felipe Avenatti,uy URU,FW,Bologna,it Serie A,24,1993,5.2,1,0,0,7,3,0,6,1,4,0,0,0,18,28,29,49.1,Matches,23f9e9d3
145,Durel Avounou,cg CGO,DFMF,Caen,fr Ligue 1,19,1997,7.2,1,0,0,7,5,2,21,10,11,0,0,0,42,5,8,38.5,Matches,833a91a1
146,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,20,1997,16.8,2,1,0,22,12,0,2,16,30,0,0,0,102,31,28,52.5,Matches,70d8e84c
147,André Ayew,gh GHA,MFFW,West Ham,eng Premier League,27,1989,9.9,2,0,0,6,17,3,8,4,14,0,0,0,52,17,50,25.4,Matches,5dbefa9d
148,André Ayew,gh GHA,MFFW,Swansea City,eng Premier League,27,1989,10.6,3,0,0,18,19,3,8,5,10,1,0,0,41,28,48,36.8,Matches,5dbefa9d
149,Jordan Ayew,gh GHA,FWMF,Swansea City,eng Premier League,25,1991,31.7,2,1,0,63,87,8,45,24,60,0,0,0,141,50,120,29.4,Matches,da052c14
150,Karim Azamoum,fr FRA,MF,Troyes,fr Ligue 1,27,1990,25.0,5,1,0,58,17,0,64,26,57,0,1,0,133,71,59,54.6,Matches,eaf71a5e
151,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,27,1989,37.0,1,0,0,25,13,1,80,54,59,0,0,1,207,80,53,60.2,Matches,53cad200
152,Ludovic Baal,gf GUF,DF,Rennes,fr Ligue 1,31,1986,12.9,0,0,0,11,15,1,23,15,27,0,0,0,104,28,14,66.7,Matches,d3ce9f1f
153,Khouma Babacar,sn SEN,FW,Fiorentina,it Serie A,24,1993,5.0,1,0,0,9,12,8,5,2,4,1,0,0,18,6,11,35.3,Matches,422ec08a
154,Khouma Babacar,sn SEN,FW,Sassuolo,it Serie A,24,1993,8.3,0,0,0,18,16,5,2,3,6,0,0,0,22,13,31,29.5,Matches,422ec08a
155,Carlos Bacca,co COL,FW,Villarreal,es La Liga,30,1986,27.7,9,0,0,22,20,40,11,8,2,0,0,0,54,23,38,37.7,Matches,09a9e921
156,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,28,1989,26.1,9,2,1,49,26,1,14,71,41,0,0,0,198,24,31,43.6,Matches,e8c930bb
157,Holger Badstuber,de GER,DFMF,Stuttgart,de Bundesliga,28,1989,24.1,2,0,0,22,17,0,2,41,32,0,0,0,119,58,30,65.9,Matches,45b7edae
158,Dylan Bahamboula,cg CGO,FWMF,Dijon,fr Ligue 1,22,1995,0.3,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0,100.0,Matches,7844c810
