,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
594,Kouadio-Yves Dabila,ci CIV,DF,Lille,fr Ligue 1,20,1997,10.5,517,487,30,9,1,2,9,21,0,0,0,0,432,0,6,Matches,3067cbef
595,Bryan Dabo,bf BFA,MF,Fiorentina,it Serie A,25,1992,6.6,331,314,16,9,1,1,4,6,0,0,0,0,253,1,8,Matches,c53083ad
596,Bryan Dabo,bf BFA,MFFW,Saint-Étienne,fr Ligue 1,25,1992,14.3,645,613,30,10,0,2,9,17,1,1,0,0,498,2,17,Matches,c53083ad
597,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,21,1996,12.7,668,659,7,2,2,7,6,0,4,1,0,0,554,2,13,Matches,db4ed67b
598,Dario Dainelli,it ITA,DF,Chievo,it Serie A,38,1979,16.7,600,558,38,38,0,11,1,0,0,0,0,0,465,4,2,Matches,3858e611
599,Felipe dal Belo,br BRA,DF,SPAL,it Serie A,33,1984,28.6,1287,1185,97,77,1,16,12,20,0,0,0,0,1043,5,23,Matches,8cea6319
600,Charlie Daniels,eng ENG,DFMF,Bournemouth,eng Premier League,30,1986,33.4,2024,1603,409,57,2,9,106,338,14,5,2,0,1510,12,59,Matches,9d107085
601,Danilo,br BRA,DF,Manchester City,eng Premier League,26,1991,15.0,1255,1126,125,9,2,8,24,116,0,0,0,0,1106,4,17,Matches,94b2001f
602,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,30,1987,15.9,574,546,24,22,1,12,2,2,0,0,0,0,454,4,4,Matches,52105203
603,Kevin Danso,at AUT,DF,Augsburg,de Bundesliga,18,1998,12.3,558,484,72,21,0,6,4,51,0,0,0,0,379,2,11,Matches,6e33125f
604,Dante,br BRA,DF,Nice,fr Ligue 1,33,1983,32.4,2338,2253,80,73,2,42,1,7,0,0,0,0,2146,5,7,Matches,fd2bc67d
605,Romain Danzé,fr FRA,DF,Rennes,fr Ligue 1,31,1986,7.6,448,356,90,6,0,3,18,84,0,0,0,0,344,2,9,Matches,a5876fca
606,Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,18,1999,4.4,195,188,7,5,0,1,0,1,0,0,0,0,175,0,0,Matches,263b855a
607,Stéphane Darbion,fr FRA,FWMF,Troyes,fr Ligue 1,33,1984,19.0,712,667,44,7,2,1,75,15,21,9,2,0,531,1,24,Matches,75d97aa6
608,Palkó Dárdai,hu HUN,FWMF,Hertha BSC,de Bundesliga,18,1999,0.3,8,8,0,0,0,0,0,0,0,0,0,0,7,0,1,Matches,db7161ed
609,Sergi Darder,es ESP,MF,Espanyol,es La Liga,23,1993,30.9,1506,1415,83,54,7,26,46,6,23,6,14,0,1213,8,27,Matches,070a3904
610,Sergi Darder,es ESP,MF,Lyon,fr Ligue 1,23,1993,2.3,143,140,2,2,0,2,0,0,0,0,0,0,123,1,2,Matches,070a3904
611,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,26,1990,18.2,984,943,39,32,1,14,22,1,1,0,1,0,765,2,39,Matches,3eb0f2df
612,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,26,1990,10.0,334,203,131,44,0,0,0,0,0,0,0,0,174,0,0,Matches,cde3309f
613,Matteo Darmian,it ITA,DF,Manchester Utd,eng Premier League,27,1989,4.9,255,200,54,1,0,0,6,53,0,0,0,0,208,1,8,Matches,96e0490d
614,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,24,1993,25.8,1735,1385,345,19,0,5,149,277,49,23,13,0,1305,5,69,Matches,44781702
615,Tom Davies,eng ENG,MF,Everton,eng Premier League,19,1998,21.1,715,681,30,8,1,3,17,3,10,4,4,0,547,4,19,Matches,9228b07c
616,Steven Davis,nir NIR,MF,Southampton,eng Premier League,32,1985,16.9,1092,1037,50,14,7,8,42,1,27,18,3,1,886,5,27,Matches,cf15bbb1
617,Salem Al-Dawsari,sa KSA,MF,Villarreal,es La Liga,25,1991,0.4,17,17,0,0,0,0,0,0,0,0,0,0,15,0,1,Matches,60ee859c
618,Craig Dawson,eng ENG,DF,West Brom,eng Premier League,27,1990,27.9,1114,938,168,10,0,8,42,158,0,0,0,0,765,8,28,Matches,3e9e06cb
619,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,26,1991,34.1,3008,2707,279,68,41,44,248,45,151,12,71,2,2351,22,67,Matches,e46012d4
620,Sebastien De Maio,fr FRA,DF,Bologna,it Serie A,30,1987,22.8,1135,1045,89,42,0,23,2,47,0,0,0,0,921,1,14,Matches,952a03fe
621,Rodrigo De Paul,ar ARG,FWMF,Udinese,it Serie A,23,1994,25.8,1128,970,148,45,12,14,165,17,77,34,28,0,778,10,50,Matches,162efffd
622,Daniele De Rossi,it ITA,MF,Roma,it Serie A,34,1983,20.3,1300,1217,75,73,2,38,3,2,0,0,0,0,1094,8,5,Matches,532d2690
623,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,24,1992,10.8,803,706,96,7,0,4,22,89,0,0,0,0,705,1,16,Matches,ae4e2852
624,Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,29,1988,32.8,1758,1376,377,16,0,3,81,361,0,0,0,0,1255,5,58,Matches,e74f0e59
625,Lucas Deaux,fr FRA,MF,Guingamp,fr Ligue 1,28,1988,21.6,1210,1159,45,36,1,20,23,5,4,2,0,0,971,6,21,Matches,44f8c299
626,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,32,1985,14.6,800,619,176,2,0,0,51,174,0,0,0,0,588,5,28,Matches,92232aad
627,Troy Deeney,eng ENG,FW,Watford,eng Premier League,29,1988,20.5,552,543,7,1,1,2,7,1,0,0,0,0,309,2,20,Matches,82e34b69
628,Jermain Defoe,eng ENG,FW,Bournemouth,eng Premier League,34,1982,12.1,138,117,20,0,1,0,5,1,0,0,0,0,98,1,5,Matches,f1e8372d
629,Steven Defour,be BEL,MF,Burnley,eng Premier League,29,1988,22.2,1062,1038,17,11,2,10,35,4,2,1,0,0,865,7,11,Matches,73489527
630,Grégoire Defrel,mq MTQ,FWMF,Roma,it Serie A,26,1991,5.4,135,130,4,1,0,1,1,0,2,1,0,0,112,1,6,Matches,854ee61a
631,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,21,1995,5.0,153,147,5,1,0,2,3,3,0,0,0,0,105,1,3,Matches,7f267d66
632,Lorenzo Del Pinto,it ITA,MF,Benevento,it Serie A,27,1990,8.4,411,402,9,7,0,1,1,1,0,0,0,0,336,0,9,Matches,081b6080
633,Damien Delaney,ie IRL,DF,Crystal Palace,eng Premier League,36,1981,1.1,38,37,1,1,0,0,0,0,0,0,0,0,30,0,1,Matches,210d9ecb
634,Thomas Delaney,dk DEN,MF,Werder Bremen,de Bundesliga,25,1991,31.1,1294,1250,34,27,0,11,28,7,0,0,0,0,915,10,40,Matches,fe641c1a
635,Jonathan Delaplace,fr FRA,MF,Caen,fr Ligue 1,31,1986,6.5,227,224,2,1,0,3,8,0,0,0,0,0,163,1,5,Matches,79685569
636,Cristian Dell'Orco,it ITA,DF,Sassuolo,it Serie A,23,1994,4.7,175,147,27,7,0,0,0,20,0,0,0,0,115,1,5,Matches,b0243215
637,Andy Delort,dz ALG,FW,Toulouse,fr Ligue 1,25,1991,25.9,841,746,93,28,0,6,112,10,19,8,10,0,472,2,38,Matches,d33c706e
638,Fabian Delph,eng ENG,DF,Manchester City,eng Premier League,27,1989,19.3,1801,1607,192,20,0,12,13,172,0,0,0,0,1662,2,15,Matches,111c3236
639,Mousa Dembélé,be BEL,MF,Tottenham,eng Premier League,30,1987,20.9,1429,1383,44,28,1,4,1,4,0,0,0,0,1316,2,12,Matches,f7ee69fb
640,Ousmane Dembélé,fr FRA,FWMF,Barcelona,es La Liga,20,1997,10.3,505,463,36,4,3,2,45,5,27,1,18,0,391,6,18,Matches,b19db005
641,Jessy Deminguet,fr FRA,MFFW,Caen,fr Ligue 1,19,1998,5.9,220,191,24,7,0,1,39,4,13,2,11,0,137,5,12,Matches,a6138e4a
642,Kerem Demirbay,de GER,MF,Hoffenheim,de Bundesliga,24,1993,13.5,740,634,99,34,1,6,73,16,49,16,27,0,570,7,14,Matches,54b4dc4e
643,Ermedin Demirović,ba BIH,FW,Alavés,es La Liga,19,1998,2.0,29,29,0,0,0,1,0,0,0,0,0,0,16,0,1,Matches,ed79b7d3
644,Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,25,1991,25.4,2118,1994,114,98,7,2,18,16,0,0,0,0,1763,10,39,Matches,dc3fa3b5
645,Fabio Depaoli,it ITA,DFMF,Chievo,it Serie A,20,1997,13.2,399,336,62,2,1,6,27,59,1,0,0,0,253,1,16,Matches,d97f2e8d
646,Memphis Depay,nl NED,FW,Lyon,fr Ligue 1,23,1994,28.4,1301,1122,170,48,10,12,155,21,93,47,38,0,956,9,38,Matches,8f696594
647,Mathieu Deplagne,fr FRA,DF,Troyes,fr Ligue 1,25,1991,26.8,1352,1037,311,27,0,9,54,284,0,0,0,0,1071,4,32,Matches,ff16ecad
648,Laurent Depoitre,be BEL,FW,Huddersfield,eng Premier League,28,1988,20.2,486,454,31,0,1,0,3,0,0,0,0,0,275,1,12,Matches,aa5859cb
649,Mike van der Hoorn,nl NED,DF,Swansea City,eng Premier League,24,1992,21.6,882,846,36,20,0,7,8,16,0,0,0,0,669,0,13,Matches,25f50295
650,Gregory van der Wiel,nl NED,DF,Cagliari,it Serie A,29,1988,3.2,164,140,22,1,0,4,7,21,0,0,0,0,129,2,2,Matches,2fb3ad46
651,Daniele Dessena,it ITA,MFDF,Cagliari,it Serie A,30,1987,6.4,245,224,21,4,0,0,8,16,0,0,0,0,170,0,4,Matches,02b2937c
652,Mattia Destro,it ITA,FW,Bologna,it Serie A,26,1991,18.0,302,282,16,1,1,1,4,1,0,0,0,0,192,4,19,Matches,d7d32194
653,Gerard Deulofeu,es ESP,FWMF,Watford,eng Premier League,23,1994,4.8,160,150,9,1,1,0,15,2,6,3,0,1,110,1,10,Matches,39583cfd
654,Gerard Deulofeu,es ESP,MFFW,Barcelona,es La Liga,23,1994,5.6,294,276,18,2,1,1,16,3,13,3,5,0,230,0,11,Matches,39583cfd
655,Gianluca Di Chiara,it ITA,DF,Benevento,it Serie A,23,1993,11.2,633,527,100,18,0,5,35,75,7,2,4,0,485,6,14,Matches,68852c0a
656,Federico Di Francesco,it ITA,FWDF,Bologna,it Serie A,23,1994,17.7,461,446,13,0,0,5,39,13,0,0,0,0,340,2,25,Matches,1fca9171
657,Davide Di Gennaro,it ITA,MF,Lazio,it Serie A,29,1988,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,951a4ee4
658,Ángel Di María,ar ARG,FW,Paris S-G,fr Ligue 1,29,1988,23.5,1293,1129,155,24,23,28,175,32,99,35,22,1,918,9,51,Matches,19cda00b
659,Franco Di Santo,ar ARG,FWMF,Schalke 04,de Bundesliga,28,1989,18.4,484,472,11,1,2,2,32,0,0,0,0,0,312,1,27,Matches,549c6ba7
660,Cheick Diabaté,ml MLI,FW,Benevento,it Serie A,29,1988,7.4,116,104,11,0,0,0,0,0,0,0,0,0,85,1,0,Matches,95cfe655
661,Fousseni Diabaté,ml MLI,MFFW,Leicester City,eng Premier League,21,1995,6.5,237,235,2,2,1,2,10,0,0,0,0,0,182,0,10,Matches,d07e3b41
662,Moussa Diaby,fr FRA,MF,Crotone,it Serie A,18,1999,0.8,20,18,2,0,0,0,4,0,2,1,1,0,13,0,2,Matches,aeed5c06
663,Fallou Diagne,sn SEN,DFMF,Metz,fr Ligue 1,27,1989,24.9,1019,973,41,39,0,25,2,1,0,0,0,0,794,5,9,Matches,cd387ff4
664,Adama Diakhaby,fr FRA,FW,Monaco,fr Ligue 1,21,1996,9.4,211,204,5,0,2,1,20,3,0,0,0,0,140,2,11,Matches,65585e3a
665,Mouctar Diakhaby,gn GUI,DF,Lyon,fr Ligue 1,20,1996,8.1,419,404,14,14,0,6,0,0,0,0,0,0,369,1,1,Matches,d2110326
666,Abdou Diallo,sn SEN,DF,Mainz 05,de Bundesliga,21,1996,26.8,1217,1095,116,50,0,9,24,66,0,0,0,0,905,6,23,Matches,fc62f087
667,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,25,1992,3.0,78,49,29,9,0,0,0,0,0,0,0,0,56,0,1,Matches,26383ea5
668,Habib Diallo,sn SEN,FWMF,Metz,fr Ligue 1,22,1995,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,6605d143
669,Mustapha Diallo,sn SEN,MF,Guingamp,fr Ligue 1,31,1986,15.4,612,601,10,9,0,3,1,1,0,0,0,0,496,1,7,Matches,6c6ecdd4
670,Mohamed Diamé,sn SEN,MF,Newcastle Utd,eng Premier League,30,1987,22.7,825,819,4,3,2,14,6,1,0,0,0,0,666,2,14,Matches,b7d082af
671,Lassana Diarra,fr FRA,MF,Paris S-G,fr Ligue 1,32,1985,6.7,513,506,5,5,1,6,0,0,0,0,0,0,471,2,4,Matches,79584585
672,Amadou Diawara,gn GUI,MF,Napoli,it Serie A,20,1997,7.3,739,716,23,23,2,3,5,0,0,0,0,0,681,0,3,Matches,bf309d24
673,Brahim Díaz,es ESP,FWDF,Manchester City,eng Premier League,17,1999,0.6,29,29,0,0,0,0,1,0,0,0,0,0,25,0,0,Matches,407feb71
674,Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,27,1989,30.9,1268,1041,218,27,0,0,36,191,0,0,0,0,979,9,37,Matches,247accfd
675,Daniel Didavi,de GER,MF,Wolfsburg,de Bundesliga,27,1990,24.9,978,879,89,39,2,4,95,15,29,14,14,1,709,10,34,Matches,d3096421
676,Thomas Didillon,fr FRA,GK,Metz,fr Ligue 1,21,1995,9.0,273,163,110,31,0,1,0,0,0,0,0,0,176,0,1,Matches,a3d524cb
677,Étienne Didot,fr FRA,MF,Guingamp,fr Ligue 1,34,1983,18.0,1039,961,69,46,1,23,28,12,10,4,2,0,822,9,17,Matches,d2aa8ac0
678,Adrián Diéguez,es ESP,DF,Alavés,es La Liga,21,1996,4.8,168,133,34,7,0,4,1,27,0,0,0,0,131,1,2,Matches,70438d35
679,Dennis Diekmeier,de GER,DF,Hamburger SV,de Bundesliga,27,1989,20.8,900,630,268,6,0,1,86,262,0,0,0,0,547,2,53,Matches,6873f3bc
680,Eric Dier,eng ENG,MFDF,Tottenham,eng Premier League,23,1994,31.4,2285,2222,58,52,2,19,26,6,0,0,0,0,1949,5,29,Matches,ac861941
681,Lucas Digne,fr FRA,DF,Barcelona,es La Liga,24,1993,7.8,564,486,78,9,0,3,15,69,0,0,0,0,489,0,12,Matches,1b84dbe1
682,Landry Dimata,be BEL,FW,Wolfsburg,de Bundesliga,19,1997,10.0,196,181,15,0,0,0,8,1,0,0,0,0,149,0,11,Matches,b5f63410
683,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,26,1991,13.2,602,590,9,4,3,3,21,2,2,0,0,0,479,3,17,Matches,92b56413
684,Ismaël Diomandé,ci CIV,DFMF,Caen,fr Ligue 1,24,1992,7.9,275,270,3,3,0,7,2,0,0,0,0,0,231,2,0,Matches,10650926
685,Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,24,1992,10.3,172,151,21,0,0,0,7,1,0,0,0,0,112,0,6,Matches,4be0b467
686,Issa Diop,fr FRA,DF,Toulouse,fr Ligue 1,20,1997,34.0,1247,1167,76,74,0,14,2,2,0,0,0,0,989,4,14,Matches,a712ca2b
687,Papakouli Diop,sn SEN,MF,Espanyol,es La Liga,31,1986,2.9,80,79,1,1,0,1,0,0,0,0,0,0,63,0,1,Matches,7329018e
688,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,31,1986,10.4,449,433,16,14,1,4,5,2,0,0,0,0,340,0,3,Matches,7329018e
689,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,19,1997,14.9,876,848,25,12,3,10,10,12,1,1,0,0,733,3,19,Matches,7f622eef
690,Djené,tg TOG,DF,Getafe,es La Liga,25,1991,36.0,992,925,56,52,2,8,10,4,0,0,0,0,688,11,9,Matches,a4971d84
691,Koffi Djidji,ci CIV,DF,Nantes,fr Ligue 1,24,1992,26.8,1004,811,192,25,0,8,21,167,0,0,0,0,744,1,14,Matches,933d3b51
692,Alexander Djiku,gh GHA,DF,Caen,fr Ligue 1,22,1994,28.0,1297,1240,52,43,0,10,5,9,0,0,0,0,1042,5,2,Matches,43e7a164
693,Papy Djilobodji,sn SEN,DF,Dijon,fr Ligue 1,28,1988,30.0,1551,1471,69,63,1,32,5,6,0,0,0,0,1220,11,12,Matches,083525e5
694,Berat Djimsiti,al ALB,DF,Benevento,it Serie A,24,1993,30.0,1618,1542,73,62,0,17,1,11,0,0,0,0,1423,3,8,Matches,6eee05f1
695,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,25,1992,36.0,1163,785,373,157,1,0,0,0,0,0,0,0,580,5,0,Matches,ac295d9e
696,Keagan Dolly,za RSA,MFFW,Montpellier,fr Ligue 1,24,1993,9.8,446,380,64,8,0,3,64,17,35,3,25,0,340,2,15,Matches,ccb1c3af
697,Jaume Doménech,es ESP,GK,Valencia,es La Liga,26,1990,5.0,140,90,50,16,0,0,0,0,0,0,0,0,105,0,0,Matches,c9cb972b
698,Jean-Luc Dompé,fr FRA,FW,Amiens,fr Ligue 1,21,1995,0.3,18,14,4,0,0,0,5,1,3,0,3,0,8,0,1,Matches,9ffdf29a
699,Giulio Donati,it ITA,DFFW,Mainz 05,de Bundesliga,27,1990,25.4,1133,839,292,35,0,25,69,257,0,0,0,0,815,2,44,Matches,22051fbe
700,Ji Dong-won,kr KOR,FWMF,Augsburg,de Bundesliga,26,1991,0.2,5,5,0,0,0,0,1,0,0,0,0,0,2,0,1,Matches,7d841904
701,Anastasios Donis,gr GRE,MFFW,Stuttgart,de Bundesliga,20,1996,10.5,225,212,12,0,0,0,41,12,0,0,0,0,145,1,13,Matches,0f26fd24
702,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,18,1999,38.0,1238,868,367,100,0,6,0,0,0,0,0,0,984,3,1,Matches,08f5afaa
703,Godfred Donsah,gh GHA,MF,Bologna,it Serie A,21,1996,19.9,639,622,12,3,1,8,5,7,0,0,0,0,475,5,26,Matches,384dd218
704,Dória,br BRA,DF,Marseille,fr Ligue 1,22,1994,0.9,28,26,2,1,0,3,1,1,0,0,0,0,20,0,1,Matches,d28b4a9d
705,Niklas Dorsch,de GER,MF,Bayern Munich,de Bundesliga,19,1998,1.0,40,39,1,0,0,0,0,1,0,0,0,0,32,0,2,Matches,7f73bdf4
706,Gabriel Dos Santos,br BRA,DF,Troyes,fr Ligue 1,19,1997,0.9,42,41,1,1,1,1,0,0,0,0,0,0,31,0,0,Matches,67ac5bb8
707,Mauro dos Santos,ar ARG,DF,Leganés,es La Liga,28,1989,10.9,311,304,7,7,0,0,3,0,0,0,0,0,235,0,4,Matches,ec699fdd
708,Mathieu Dossevi,tg TOG,FWMF,Metz,fr Ligue 1,29,1988,27.9,1123,977,140,37,0,7,245,11,89,27,55,1,760,6,64,Matches,6421dd73
709,Abdoulaye Doucouré,ml MLI,MF,Watford,eng Premier League,24,1993,36.9,2278,2212,60,35,2,16,26,2,0,0,0,0,1885,6,44,Matches,02b29014
710,Cheick Doukouré,ci CIV,MF,Levante,es La Liga,24,1992,11.4,320,317,2,1,1,0,4,1,0,0,0,0,261,1,9,Matches,e208bcc8
711,Mohamed Dräger,tn TUN,MFFW,Freiburg,de Bundesliga,21,1996,0.6,12,11,1,1,0,0,0,0,0,0,0,0,5,0,1,Matches,8954fddc
712,Aleksandar Dragović,at AUT,DF,Leicester City,eng Premier League,26,1991,8.5,361,331,29,7,0,4,1,22,0,0,0,0,301,1,1,Matches,6fd8a334
713,Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,26,1991,0.5,31,27,4,4,0,0,0,0,0,0,0,0,27,0,0,Matches,6fd8a334
714,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,19,1997,2.4,51,31,20,10,0,0,0,0,0,0,0,0,28,0,0,Matches,085e71a7
715,Boukary Dramé,sn SEN,DFMF,SPAL,it Serie A,32,1985,1.1,57,47,10,1,0,0,2,9,0,0,0,0,45,0,1,Matches,a5cd894b
716,Julian Draxler,de GER,MFFW,Paris S-G,fr Ligue 1,23,1993,18.9,1378,1319,52,7,14,13,25,8,36,10,6,1,1255,7,12,Matches,1a992676
717,Danny Drinkwater,eng ENG,MF,Chelsea,eng Premier League,27,1990,5.9,389,384,3,3,3,6,2,0,0,0,0,0,331,2,5,Matches,2649ff32
718,Josip Drmić,ch SUI,FWMF,M'Gladbach,de Bundesliga,24,1992,5.2,139,124,14,0,1,1,1,0,0,0,0,0,93,1,5,Matches,15ea94de
719,Rick van Drongelen,nl NED,DF,Hamburger SV,de Bundesliga,18,1998,16.0,701,641,57,25,0,5,5,32,0,0,0,0,508,3,18,Matches,f0797d57
720,Óscar Duarte,cr CRC,DF,Espanyol,es La Liga,28,1989,11.0,483,461,21,21,0,1,1,0,0,0,0,0,380,1,1,Matches,aa0ac32d
721,Rubén Duarte,es ESP,DF,Alavés,es La Liga,21,1995,23.8,968,697,257,11,0,3,54,246,0,0,0,0,670,14,11,Matches,1fe0492d
722,Leo Dubois,fr FRA,DF,Nantes,fr Ligue 1,22,1994,33.6,1998,1462,528,78,0,13,251,367,81,20,55,0,1403,8,64,Matches,ff0ab48c
723,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,28,1989,12.0,348,212,136,43,0,1,0,0,0,0,0,0,203,0,0,Matches,3a949a25
724,Ondrej Duda,sk SVK,MF,Hertha BSC,de Bundesliga,22,1994,8.3,317,312,5,2,0,2,6,0,0,0,0,0,257,0,6,Matches,79ca3e23
725,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,25,1992,36.6,1368,1326,39,35,0,28,3,4,0,0,0,0,1045,3,8,Matches,7314bba4
726,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,25,1991,17.8,779,615,160,6,1,2,22,154,0,0,0,0,535,4,23,Matches,3fe6bd8c
727,Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,24,1993,21.6,803,763,31,5,3,11,74,12,14,1,10,1,556,9,43,Matches,528492ea
728,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,25,1991,38.0,1529,1466,52,37,3,61,7,15,0,0,0,0,1189,11,13,Matches,282f75f3
729,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,24,1993,1.0,22,13,9,1,0,0,0,0,0,0,0,0,12,0,0,Matches,0e12089d
730,Jimmy Durmaz,se SWE,MFFW,Toulouse,fr Ligue 1,28,1989,11.4,538,464,71,31,2,6,60,14,23,17,6,0,364,3,22,Matches,f09a8b75
731,Riza Durmisi,dk DEN,DF,Betis,es La Liga,23,1994,23.1,1069,880,186,11,1,2,68,172,3,1,1,0,856,3,22,Matches,e5cd9da6
732,Hugo Duro,es ESP,FW,Getafe,es La Liga,17,1999,0.2,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches,37e103f8
733,Noë Dussenne,be BEL,FW,Crotone,it Serie A,25,1992,0.9,19,10,7,2,0,0,0,5,0,0,0,0,8,2,1,Matches,8b9b8e43
734,Paulo Dybala,ar ARG,MFFW,Juventus,it Serie A,23,1993,26.1,1361,1211,144,30,8,34,92,9,72,11,28,2,1132,6,35,Matches,e0921a4f
735,Nathan Dyer,eng ENG,MFFW,Swansea City,eng Premier League,29,1987,14.5,553,542,10,3,2,0,33,7,0,0,0,0,426,1,20,Matches,6dfd5af0
736,Edin Džeko,ba BIH,FW,Roma,it Serie A,31,1986,33.5,796,730,57,4,9,16,19,0,1,0,0,0,546,9,35,Matches,3bb7f478
737,Blerim Džemaili,ch SUI,MFFW,Bologna,it Serie A,31,1986,13.3,494,464,27,14,3,5,10,9,0,0,0,0,383,3,19,Matches,756959aa
738,Félix Eboa Eboa,cm CMR,DF,Guingamp,fr Ligue 1,20,1997,16.9,719,646,71,16,0,4,13,55,0,0,0,0,556,2,14,Matches,167d5018
739,Éder,it ITA,FWMF,Inter,it Serie A,30,1986,8.9,255,241,14,2,1,0,17,3,1,1,0,0,207,0,10,Matches,5a325298
740,Simone Edera,it ITA,FWMF,Torino,it Serie A,20,1997,3.6,116,101,14,2,0,0,4,3,4,2,1,0,87,1,5,Matches,8697c095
741,Ederson,br BRA,GK,Manchester City,eng Premier League,23,1993,35.5,1098,879,216,56,0,9,0,0,0,0,0,0,955,3,0,Matches,3bb7b8b4
742,Tom Edwards,eng ENG,DFMF,Stoke City,eng Premier League,18,1999,5.3,217,176,40,1,0,1,15,39,0,0,0,0,151,1,4,Matches,1b780599
743,Mandela Egbo,eng ENG,DFMF,M'Gladbach,de Bundesliga,19,1997,0.1,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0,Matches,5603d397
744,Johannes Eggestein,de GER,FWDF,Werder Bremen,de Bundesliga,19,1998,1.1,32,32,0,0,0,0,3,0,0,0,0,0,20,0,1,Matches,d571df78
745,Maximilian Eggestein,de GER,MF,Werder Bremen,de Bundesliga,20,1996,29.9,1000,962,33,17,0,9,26,15,0,0,0,0,736,5,60,Matches,beb882a8
746,Albin Ekdal,se SWE,MF,Hamburger SV,de Bundesliga,28,1989,12.3,582,556,23,22,0,1,0,1,0,0,0,0,442,3,20,Matches,f503ea63
747,Josip Elez,hr CRO,DF,Hannover 96,de Bundesliga,23,1994,8.6,366,339,27,25,0,8,3,2,0,0,0,0,285,0,1,Matches,eafac393
748,Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,31,1986,16.0,537,303,234,75,0,0,0,0,0,0,0,0,308,0,0,Matches,b1b25949
749,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,25,1992,9.6,852,833,17,9,2,2,8,5,3,2,0,0,789,2,7,Matches,47a34c4f
750,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,23,1994,17.7,1028,937,90,22,2,4,9,68,0,0,0,0,870,1,11,Matches,f7dc2ae5
751,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,20,1996,32.4,1780,1505,270,28,0,2,23,242,0,0,0,0,1483,5,55,Matches,48035304
752,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,23,1993,29.9,1040,951,81,75,2,19,1,6,0,0,0,0,753,8,6,Matches,fd47b4f2
753,Breel Embolo,ch SUI,FWMF,Schalke 04,de Bundesliga,20,1997,10.2,221,216,5,0,1,1,7,0,2,0,0,0,161,0,14,Matches,0b4f388a
754,Youssef En-Nesyri,ma MAR,FW,Málaga,es La Liga,20,1997,17.7,342,319,21,0,3,2,19,1,0,0,0,0,190,2,19,Matches,04e17fd5
755,Sergi Enrich,es ESP,FW,Eibar,es La Liga,27,1990,14.8,430,400,29,1,0,3,5,4,0,0,0,0,289,1,8,Matches,bb4b1242
756,Javier Eraso,es ESP,MFFW,Leganés,es La Liga,27,1990,28.1,875,785,82,22,3,4,80,1,47,16,27,0,623,8,24,Matches,aec0fb6f
757,Christian Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,25,1992,35.8,2509,2221,270,105,24,28,222,11,125,48,48,6,1919,18,57,Matches,980522ec
758,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,24,1993,17.4,674,661,8,5,1,9,10,3,0,0,0,0,490,5,15,Matches,3f79a1c8
