,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
108,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29-275,1993,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2f965a72
109,Joe Aribo,ng NGA,MFFW,Southampton,eng Premier League,26-131,1996,10.5,2,12,8,66.7,1.14,0.76,0.17,0.25,10.0,0,0,0,1.4,1.4,0.12,+0.6,+0.6,Matches,328f7d51
110,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,25-292,1997,9.7,1,16,7,43.8,1.66,0.72,0.06,0.14,16.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches,68c720b5
111,Stuart Armstrong,sct SCO,MFFW,Southampton,eng Premier League,30-244,1992,7.7,1,12,3,25.0,1.57,0.39,0.08,0.33,18.3,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches,97333cf5
112,Marko Arnautović,at AUT,FW,Bologna,it Serie A,33-224,1989,12.2,8,20,10,50.0,1.64,0.82,0.25,0.50,15.1,0,3,3,5.6,3.3,0.16,+2.4,+1.7,Matches,00459419
113,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28-186,1994,14.5,3,16,5,31.3,1.10,0.34,0.13,0.40,30.8,4,1,1,1.3,0.6,0.03,+1.7,+1.4,Matches,86e119e0
114,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,28-057,1994,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28d596a0
115,Roberto Arroyo,es ESP,MF,Valladolid,es La Liga,19-096,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6091cf45
116,Tolgay Arslan,de GER,MF,Udinese,it Serie A,32-105,1990,5.7,1,9,2,22.2,1.59,0.35,0.11,0.50,20.3,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches,963a328b
117,Arthur,br BRA,FW,Fiorentina,it Serie A,24-218,1998,5.5,2,16,5,31.3,2.90,0.91,0.06,0.20,11.8,0,1,1,2.4,1.6,0.10,-0.4,-0.6,Matches,a820e429
118,Santiago Arzamendia,py PAR,MFDF,Cádiz,es La Liga,24-208,1998,2.8,0,3,1,33.3,1.06,0.35,0.00,0.00,17.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,759d8dd7
119,Takuma Asano,jp JPN,MFFW,Bochum,de Bundesliga,28-019,1994,4.4,0,8,3,37.5,1.80,0.68,0.00,0.00,17.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,13ddc856
120,Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,25-277,1997,7.8,0,14,3,21.4,1.80,0.39,0.00,0.00,27.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,e26fcca3
121,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33-154,1989,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9f0ea33f
122,Marco Asensio,es ESP,MFFW,Real Madrid,es La Liga,26-312,1996,2.1,1,8,3,37.5,3.87,1.45,0.13,0.33,21.9,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches,45af8a54
123,Kristoffer Askildsen,no NOR,MF,Lecce,it Serie A,21-324,2001,5.6,0,9,3,33.3,1.62,0.54,0.00,0.00,24.4,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,a69cc629
124,Fisnik Asllani,xk KVX,FWMF,Hoffenheim,de Bundesliga,20-113,2002,0.5,0,2,0,0.0,4.29,0.00,0.00,,8.4,0,0,0,0.5,0.5,0.27,-0.5,-0.5,Matches,35f67a30
125,Kristjan Asllani,al ALB,MF,Inter,it Serie A,20-265,2002,2.1,0,4,0,0.0,1.88,0.00,0.00,,29.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,0fdcef0e
126,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35-120,1987,12.5,7,26,13,50.0,2.09,1.04,0.23,0.46,20.1,2,1,2,3.6,2.0,0.08,+3.4,+4.0,Matches,7dcf86f6
127,Lorenz Assignon,tg TOG,DFMF,Rennes,fr Ligue 1,22-160,2000,2.0,0,2,1,50.0,1.01,0.50,0.00,0.00,14.3,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,b026bbf6
128,Youcef Atal,dz ALG,DFMF,Nice,fr Ligue 1,26-196,1996,6.9,1,9,5,55.6,1.30,0.72,0.11,0.20,16.3,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches,6a827d8e
129,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,eng Premier League,33-164,1989,3.4,1,6,3,50.0,1.77,0.89,0.17,0.33,18.0,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,d5dd5f1f
130,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33-164,1989,0.1,0,1,0,0.0,10.00,0.00,0.00,,12.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,d5dd5f1f
131,Emil Audero,it ITA,GK,Sampdoria,it Serie A,25-315,1997,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,649b01d8
132,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,28-091,1994,12.1,0,3,0,0.0,0.25,0.00,0.00,,18.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,3cd3b384
133,Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,28-222,1994,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9fec8860
134,Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,29-340,1992,5.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5c2b4f07
135,Mathias Autret,fr FRA,MFFW,Auxerre,fr Ligue 1,31-273,1991,9.6,2,17,10,58.8,1.78,1.05,0.06,0.10,26.7,1,1,1,2.0,1.2,0.07,0.0,-0.2,Matches,7dfbba27
136,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,28-296,1994,9.3,6,27,13,48.1,2.90,1.40,0.15,0.31,23.2,0,2,3,4.5,2.1,0.08,+1.5,+1.9,Matches,253a06b9
137,Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,36-079,1986,7.7,1,2,1,50.0,0.26,0.13,0.50,1.00,1.2,0,0,0,1.0,1.0,0.58,0.0,0.0,Matches,a94d93be
138,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25-109,1997,5.7,3,15,6,40.0,2.64,1.05,0.20,0.50,10.9,0,0,0,3.6,3.6,0.25,-0.6,-0.6,Matches,e5478b87
139,Mehmet-Can Aydin,de GER,DF,Schalke 04,de Bundesliga,20-293,2002,2.3,0,3,0,0.0,1.30,0.00,0.00,,19.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,fe46e261
140,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,31-079,1991,10.0,0,6,3,50.0,0.60,0.30,0.00,0.00,16.3,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches,da052c14
141,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,28-019,1994,6.1,0,1,1,100.0,0.17,0.17,0.00,0.00,37.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,2200181e
142,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,31-096,1991,1.8,0,3,0,0.0,1.70,0.00,0.00,,16.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,420d7c7d
143,Ayman Azhil,ma MAR,MF,Leverkusen,de Bundesliga,21-233,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ce81d82d
144,Sardar Azmoun,ir IRN,MFFW,Leverkusen,de Bundesliga,27-332,1995,3.1,0,11,4,36.4,3.52,1.28,0.00,0.00,11.3,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches,10549b49
145,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,33-093,1989,7.5,0,3,1,33.3,0.40,0.13,0.00,0.00,21.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,53cad200
146,Sanoussy Ba,de GER,DF,RB Leipzig,de Bundesliga,18-328,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f582d5c1
147,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,26-311,1996,6.1,0,1,0,0.0,0.16,0.00,0.00,,30.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,bfd381b3
148,Srđan Babić,rs SRB,DF,Almería,es La Liga,26-221,1996,12.5,1,2,2,100.0,0.16,0.16,0.50,0.50,6.5,0,0,0,0.4,0.4,0.19,+0.6,+0.6,Matches,075fe5a3
149,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,22-232,2000,1.0,0,2,0,0.0,2.00,0.00,0.00,,8.7,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,114bbdee
150,Édgar Badía,es ESP,GK,Elche,es La Liga,30-290,1992,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e4346678
151,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,21-248,2001,9.3,2,5,3,60.0,0.54,0.32,0.40,0.67,16.0,0,0,0,0.6,0.6,0.13,+1.4,+1.4,Matches,06df8256
152,Alex Baena,es ESP,MFFW,Villarreal,es La Liga,21-132,2001,7.0,4,18,9,50.0,2.57,1.29,0.22,0.44,20.8,0,0,0,1.3,1.3,0.07,+2.7,+2.7,Matches,518f2234
153,Jaime Báez,uy URU,DF,Cremonese,it Serie A,27-218,1995,1.1,0,2,0,0.0,1.87,0.00,0.00,,23.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,dfd24c07
154,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,25-112,1997,9.2,3,17,6,35.3,1.85,0.65,0.18,0.50,17.4,1,0,0,1.9,1.9,0.11,+1.1,+1.1,Matches,3a233281
155,Eric Bailly,ci CIV,DF,Marseille,fr Ligue 1,28-231,1994,2.3,0,1,0,0.0,0.43,0.00,0.00,,12.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,a1232f4e
156,Dénys Bain,fr FRA,DF,Auxerre,fr Ligue 1,29-150,1993,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5065d67d
